Meses,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Julio,727,766,654,522,433,438,463,431,342, 271 ,300 ,261,263
Agosto,815,840,915,958,969,793,616,462,470, 328 ,316 ,310,298
Septiembre,836,822,741,880,709,640,645,417,445, 383 ,332 ,269,314
Octubre,847,749,793,697,724,620,565,415,380, 336 ,368 ,257,327
Noviembre,544,620,649,740,675,552,407,329,344, 286 ,281 ,255,231
Diciembre,624,713,738,782,750,493,396,390,380, 316 ,288 ,225,292
Enero,636,574,581,589,535,452,319,302,291, 201 ,297 ,244,218
Febrero,688,879,752,726,638,648,471,422,287, 294 , 328 ,318,229
Marzo,813,887,791,923,759,605,426,449,441, 383 , 300 ,325,299
Abril,704,778,795,652,601,753,398,478,401, 302 , 307 ,324,261
Mayo,739,794,802,599,857,614,447,452,378, 329 , 335 ,322,301
Junio,853,889,801,855,714,700,530,487,332, 325 , 273 ,310,276
