Meses,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Julio,39,140,39,17,26,21,26,36,31, 25 ,25 ,14,22
Agosto,44,67,45,65,91,60,78,33,13, 36 ,27 ,19,32
Septiembre,39,67,48,69,65,35,49,29,29, 41 ,33 ,23,36
Octubre,49,52,63,61,56,34,83,25,31, 39 ,37 ,14,19
Noviembre,24,44,72,43,93,44,28,21,18, 15 ,30 ,13,15
Diciembre,54,38,45,44,42,46,30,24,18, 25 ,20 ,18,33
Enero,39,43,71,38,49,45,63,13,20, 6 ,28 ,15,21
Febrero,41,72,100,63,40,63,45,21,20, 35 , 24 ,23,24
Marzo,67,54,62,38,39,50,39,21,32, 27 , 17 ,25,26
Abril,55,56,55,28,38,52,58,21,26, 25 , 21 ,16,22
Mayo,39,44,60,25,57,50,46,19,13, 32 , 33 ,25,29
Junio,80,49,55,37,37,89,33,14,16, 24 , 19 ,26,35
