Meses,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Julio,766,906,693,539,459,459,489,467,373, 296 ,325 ,275,285
Agosto,859,907,960,"1,023","1,060",853,694,495,483, 364 ,343 ,329,330
Septiembre,875,889,789,949,774,675,694,446,474, 424 ,365 ,292,350
Octubre,896,801,856,758,780,654,648,440,411, 375 ,405 ,271,346
Noviembre,568,664,721,783,768,596,435,350,362, 301 ,311 ,268,246
Diciembre,678,751,783,826,792,539,426,414,398, 341 ,308 ,243,325
Enero,675,617,652,627,584,497,382,315,311, 207 ,325 ,259,239
Febrero,729,951,852,789,678,711,516,443,307, 329 ,352 ,341,253
Marzo,880,941,853,961,798,655,465,470,473, 410 ,317 ,350,325
Abril,759,834,850,680,639,805,456,499,427, 327 ,328 ,340,283
Mayo,778,838,862,624,914,664,493,471,391, 361 ,368 ,347,330
Junio,933,938,856,892,751,789,563,501,348, 349 ,292 ,336,311
