Meses,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,,71,162,93,129,212,194,144,339,297,297,187,345,7,206,134,85
Agosto,,251,276,508,278,407,397,270,364,686,605,345,400,135,227,239,223
Septiembre,,217,223,298,317,351,265,293,384,584,165,415,336,10,244,115,172
Octubre,,268,269,283,309,480,426,340,363,508,17,566,466,32,321,53,155
Noviembre,,225,170,219,276,283,233,401,284,447,27,290,333,4,244,103,116
Diciembre,,187,165,252,301,318,261,679,682,427,58,362,321,8,200,118,84
Enero,328,147,196,197,277,343,225,268,316,468,110,287,248,70,210,178,
Febrero,153,201,227,274,322,387,306,371,430,628,187,182,295,133,300,238,
Marzo,171,219,281,303,301,501,292,332,414,651,204,286,159,213,265,274,
Abril,156,169,303,257,284,457,250,407,474,484,174,318,4,238,176,311,
Mayo,161,206,236,263,333,457,267,385,516,650,133,423,2,274,258,305,
Junio,169,248,294,312,291,346,255,450,455,589,162,420,7,686,239,174,
