Meses,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Julio,"1,781","1,857","1,207",871,732,590,335,610,458,325, 283 ,233,111
Agosto,"1,981","1,970","1,858","1,966","1,717","1,067",543,332,478,461, 288 ,277,311
Septiembre,"1,234","1,585","1,203","1,523","1,135","1,143",957,276,380,350, 342 ,241,213
Octubre,"1,654","1,553","1,841","1,463",921,788,542,565,354,516, 208 ,101,104
Noviembre,"1,117","1,366","1,089","1,824","1,075","1,240",575,256,252,300, 233 ,150,104
Diciembre,"1,114","1,285","1,240","1,265","1,097",944,745,212,622,309, 187 ,132,385
Enero,"1,430","1,008","1,418","1,122",749,994,243,257,199,260, 244 ,125,87
Febrero,"1,474","1,546","1,184",969,"1,199","1,057",929,314,267,221, 302 ,169,346
Marzo,"1,231","1,690","1,365","1,969",922,640,423,313,480,481, 238 ,204,132
Abril,"1,274","1,492","2,163","1,036",718,"1,014",340,556,301,281, 239 ,120,53
Mayo,"1,481","1,411","1,072","1,077","1,524",783,533,422,290,334, 347 ,163,39
Junio,"1,775","1,929","1,233","1,868","1,269",968,505,659,584,373, 284 ,274,146
