Meses,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Julio,0,589,531,59,12,13,1,59,4,3,0,2,0
Agosto,42,397,48,79,74,39,2,17,2,0,17,42,2
Septiembre,0,156,0,32,47,264,4,1,1,1,0,0,6
Octubre,163,260,1,91,170,5,7,50,2,130,58,0,0
Noviembre,0,180,67,23,81,7,7,32,1,1,22,0,0
Diciembre,0,13,8,211,45,5,14,4,0,1,4,1,1
Enero,383,55,137,5,30,8,8,1,61,0,0,1,0
Febrero,0,149,112,89,62,1,3,2,12,0,1,0,0
Marzo,18,21,28,21,3,81,5,3,0,3,0,24,1
Abril,208,144,76,11,70,14,4,1,0,3,4,0,1
Mayo,204,75,18,191,54,71,3,2,0,40,40,0,2
Junio,352,76,44,65,143,13,7,2,0,2,4,24,3
