Meses,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,,1201,801,511,641,813,674,673,846,875,890,1124,799,770
Agosto,,936,934,758,664,690,816,853,979,872,990,1114,923,934
Septiembre,618,997,775,763,665,818,817,168,806,945,1066,984,658,827
Octubre,1106,1005,852,723,751,739,768,154,942,988,1077,999,868,841
Noviembre,800,895,817,728,669,597,706,509,566,832,918,921,729,736
Diciembre,933,1076,1015,755,715,727,852,664,851,898,1136,1030,772,779
Enero,773,724,802,735,550,503,698,467,629,702,868,679,563,
Febrero,836,810,666,760,734,735,739,581,826,871,1049,810,726,
Marzo,1041,975,698,788,856,784,951,833,870,292,1106,993,947,
Abril,1204,899,810,694,905,818,808,713,868,0,977,809,754,
Mayo,1241,967,798,741,873,830,896,885,936,428,1094,973,960,
Junio,1263,1077,786,730,835,895,885,887,894,890,999,949,857,
