Meses,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,,328,220,81,116,135,74,90,100,62,71,88,52,71
Agosto,,229,211,127,158,143,111,88,86,62,75,99,84,72
Septiembre,228,278,190,152,118,115,88,10,59,56,123,95,44,75
Octubre,342,255,229,176,173,106,79,15,83,45,101,77,96,59
Noviembre,274,213,230,140,119,68,52,43,209,52,71,102,59,47
Diciembre,315,234,280,159,102,107,97,68,52,50,110,56,73,73
Enero,249,153,195,159,92,85,65,153,32,55,53,138,46,
Febrero,262,150,164,131,117,90,61,194,68,59,97,73,42,
Marzo,354,214,134,158,159,107,95,79,60,32,113,83,82,
Abril,374,229,160,147,158,118,85,279,63,0,86,59,77,
Mayo,322,224,194,169,128,109,89,71,74,169,83,111,74,
Junio,484,245,221,123,142,131,98,68,74,83,70,81,67,
