Meses,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,,1529,1021,592,757,948,748,763,946,937,961,1212,851,841
Agosto,,1165,1145,885,822,833,927,941,1065,934,1065,1213,1007,1006
Septiembre,846,1275,965,915,783,933,905,178,865,1001,1189,1079,702,902
Octubre,1448,1260,1081,899,924,845,847,169,1025,1033,1178,1076,964,900
Noviembre,1074,1108,1047,868,788,665,758,552,775,884,989,1023,788,783
Diciembre,1248,1310,1295,914,817,834,949,732,903,948,1246,1086,845,852
Enero,1022,877,997,894,642,588,763,620,661,757,921,817,609,
Febrero,1098,960,830,891,851,825,800,775,894,930,1146,883,768,
Marzo,1395,1189,832,946,1015,891,1046,912,930,324,1219,1076,1029,
Abril,1578,1128,970,841,1063,936,893,992,931,0,1063,868,831,
Mayo,1563,1191,992,910,1001,939,985,956,1010,597,1177,1084,1034,
Junio,1747,1322,1007,853,977,1026,983,955,968,973,1069,1030,924,
