Meses,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Julio,"1,781","2,446","1,738",930,744,603,336,669,462,328, 283 ,235,111
Agosto,"2,023","2,367","1,906","2,045","1,791","1,106",545,349,480,461, 305 ,319,313
Septiembre,"1,234","1,741","1,203","1,555","1,182","1,407",961,277,381,351, 342 ,241,219
Octubre,"1,817","1,813","1,842","1,554","1,091",793,549,615,356,646, 266 ,101,104
Noviembre,"1,117","1,546","1,156","1,847","1,156","1,247",582,288,253,301, 255 ,150,104
Diciembre,"1,114","1,298","1,248","1,476","1,142",949,759,216,622,310, 191 ,133,386
Enero,"1,813","1,063","1,555","1,127",779,"1,002",251,258,260,260, 244 ,126,87
Febrero,"1,474","1,695","1,296","1,058","1,261","1,058",932,316,279,221, 303 ,169,346
Marzo,"1,249","1,711","1,393","1,990",925,721,428,316,480,484, 238 ,228,133
Abril,"1,482","1,636","2,239","1,047",788,"1,028",344,557,301,284, 243 ,120,54
Mayo,"1,685","1,486","1,090","1,268","1,578",854,536,424,290,374, 387 ,163,41
Junio,"2,127","2,005","1,277","1,933","1,412",981,512,661,584,375, 288 ,298,149
