Meses,2015,2016,2017,2018,2019,2020,2021,2022,2023
Julio,164,163,125,131,184,200,318,343,323
Agosto,170,171,224,226,291,181,321,453,452
Septiembre,206,183,140,45,228,160,340,377,318
Octubre,195,173,160,35,280,105,351,400,363
Noviembre,117,111,131,56,292,49,286,385,300
Diciembre,157,152,133,83,227,55,353,333,378
Enero,130,111,100,90,220,36,230,315,314
Febrero,142,178,132,126,378,40,330,399,343
Marzo,181,156,231,132,345,34,387,428,413
Abril,196,174,134,208,343,14,327,329,319
Mayo,171,164,190,213,330,18,304,447,365
Junio,176,149,150,204,318,25,437,377,393
