Meses,2015,2016,2017,2018,2019,2020,2021,2022,2023
Julio,156,124,236,85,146,126,235,333,306
Agosto,226,124,224,182,121,125,340,467,343
Septiembre,198,208,83,34,91,245,193,233,262
Octubre,117,306,283,25,226,276,276,381,333
Noviembre,55,281,117,26,148,128,282,359,169
Diciembre,160,350,135,43,75,153,197,321,192
Enero,74,88,123,54,147,80,262,265,179
Febrero,338,109,169,84,254,128,364,269,364
Marzo,118,633,383,91,178,156,257,384,358
Abril,224,183,234,204,300,18,229,231,249
Mayo,196,289,324,123,267,89,220,388,342
Junio,108,263,81,131,112,267,446,268,251
