Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,3617,3311,3154,3438,3034,3526,2954,2934,2995,2445,1956,1383,1352,1517,1069,1068,1232,1085.21,966.256,1150.026,1004.597,1318.645,608.939,738.824,687.326
Agosto,3438,3147,3047,2745,3244,3306,3207,2940,2934,2970,1827,1323,995,1301,1107,1172,859,693.212,983.949,1088.09,1061.926,904.163,585.045,789.001,771.463
Septiembre,3337,3049,2861,2921,2781,2722,2988,3102,3063,1868,1820,1002,1276,1514,1142,1063,902,786.489,268.958,953.045,962.889,929.024,618.149,509.865,768.576
Octubre,3343,3176,3129,3151,3009,3356,2773,3054,2699,2366,1945,1346,1851,1354,1250,1125,872,683.448,322.098,1016.296,921.392,831.728,727.371,653.845,683.35
Noviembre,2730,2895,2759,2825,2361,2737,2849,3401,2408,2252,1566,1189,1509,1154,1223,1066,1084,755.688,573.524,863.583,1096.738,431.403,507.339,658.722,650.845
Diciembre,3129,2744,2521,2385,2514,3022,3342,2686,2329,1669,1272,1301,1153,1206,758,834,1099,848.746,491.905,964.259,1022.301,977.841,634.01,751.248,705.747
Enero,2739,2560,2435,2481,2490,2512,2684,2339,2416,2021,1187,1424,1356,1243,982,779,684.999,744.503,927.128,995.543,824.994,551.431,475.324,751.329,643.352
Febrero,3275,3136,3001,3049,3221,3215,2998,2810,2866,1986,1428,1389,1299,1293,1289,1058,1131.737,806.473,1254.909,1117.968,1030.193,596.297,620.991,741.582,647.044
Marzo,3686,3486,3049,3068,3455,3592,3640,3242,3168,2171,1674,1672,1736,1134,1362,1144,1002.877,1096.801,1282.745,1209.197,493.281,770.631,765.112,926.366,643.7367319
Abril,3437,2911,2999,3044,2935,3172,3208,2439,2820,1864,1512,1473,1725,1457,1276,1134,997.048,903.626,1287.048,746.712,377.215,635.347,705.936,634.358,768.975683
Mayo,3574,2931,3107,3071,3017,3044,3239,2913,2677,1585,1633,1483.4,1673,1002,1115,736,931.749,826.62,1508.884,1008.819,1034.109,546.647,770.195,873.414,742
Junio,3424,3197,2860,3132,3386,3199,3024,2393,2912,1962,1354,1237,1576,1160,1220,1154,1062.53,1169.168,937.434,1195.074,1392.237,654.18,860.078,820.097,
