Meses,2015,2016,2017,2018,2019,2020,2021,2022,2023
Julio,180,183,140,141,191,299,349,465,468
Agosto,191,189,244,239,305,343,375,580,684
Septiembre,226,204,163,48,251,372,426,535,464
Octubre,217,196,197,36,292,374,464,503,510
Noviembre,125,120,144,59,303,264,403,504,454
Diciembre,169,171,142,84,233,321,446,452,476
Enero,144,124,108,96,231,219,313,454,416
Febrero,162,198,146,129,405,317,429,562,554
Marzo,193,175,248,139,355,193,501,602,615
Abril,211,200,145,220,361,63,409,462,466
Mayo,188,180,204,219,348,77,384,608,521
Junio,201,172,163,209,344,252,566,518,536
