Meses,2015,2016,2017,2018,2019,2020,2021,2022,2023
Julio,352,125,236,85,146,144,242,437,386
Agosto,235,124,228,266,124,177,367,574,468
Septiembre,198,208,125,34,92,254,252,372,363
Octubre,119,306,488,25,331,456,380,466,416
Noviembre,55,303,221,26,148,328,364,460,247
Diciembre,160,362,275,43,75,153,270,418,252
Enero,74,100,123,54,147,110,308,394,214
Febrero,338,111,541,84,377,128,435,410,418
Marzo,118,633,384,91,178,156,336,536,458
Abril,224,205,247,208,315,18,288,345,320
Mayo,196,299,399,123,267,89,275,528,397
Junio,109,264,141,131,122,267,523,392,326
