Meses,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Julio,"$63,759","$95,181","$92,861","$14,263","$6,906","$39,555","$30,361","$43,999","$12,439","$35,873","$22,782","$20,286","$28,480"
Agosto,"$35,095","$47,321","$46,653","$97,025","$30,862","$58,247","$98,953","$74,656","$2,648","$47,295","$19,422","$11,170","$8,523"
Septiembre,"$24,679","$72,617","$87,240","$75,747","$61,459","$45,696","$140,285","$25,923","$16,549","$50,471","$21,130","$9,781","$26,406"
Octubre,"$44,269","$61,968","$93,914","$26,686","$60,343","$68,869","$39,621","$20,400","$36,227","$84,028","$26,209","$4,799","$26,350"
Noviembre,"$158,258","$46,424","$143,859","$28,609","$39,863","$57,548","$16,526","$31,024","$13,166","$17,779","$14,029","$3,342","$27,564"
Diciembre,"$118,484","$104,066","$49,337","$64,477","$14,405","$52,226","$53,186","$19,725","$13,093","$52,027","$5,612","$21,624","$25,437"
Enero,"$113,608","$121,242","$52,772","$23,042","$43,119","$21,730","$14,013","$23,698","$27,017","$1,447","$10,386","$13,969","$9,351"
Febrero,"$65,098","$98,408","$64,755","$47,277","$11,607","$83,612","$20,823","$12,455","$41,302","$14,451","$14,255","$16,163","$12,984"
Marzo,"$46,424","$50,212","$74,474","$37,392","$23,931","$61,093","$21,930","$16,974","$37,570","$20,795","$11,762","$13,412","$7,902"
Abril,"$48,585","$117,942","$34,379","$53,103","$25,509","$46,970","$82,759","$18,563","$23,320","$21,129","$7,715","$9,547","$18,894"
Mayo,"$23,970","$40,339","$36,305","$32,030","$42,931","$21,984","$43,217","$5,404","$9,317","$85,224","$51,226","$10,125","$14,516"
Junio,"$88,488","$60,058","$78,333","$70,311","$42,836","$42,829","$19,070","$16,806","$27,836","$16,139","$6,334","$18,665","$10,749"
