Meses,2015,2016,2017,2018,2019,2020,2021,2022,2023
Julio,$93,$190,$0,$129,$0,$0,$0,$0,$0
Agosto,$0,$432,$0,$0,$914,$57,$0,$0,$168
Septiembre,$343,$0,$0,$0,$0,$0,$0,$0,"$1,283"
Octubre,"$7,007",$297,$52,$0,$493,$27,$0,$0,$65
Noviembre,$0,$197,"$12,222",$0,$0,$0,$0,$0,$0
Diciembre,$637,$222,"$8,589",$76,$0,"$40,241",$0,$0,$0
Enero,$33,$0,$786,$0,$0,$0,$0,$0,$0
Febrero,$0,$0,$0,$0,$0,$0,$0,$0,$274
Marzo,$0,$171,$0,$122,"$4,272",$0,$0,$0,$0
Abril,$0,$72,$5,$0,$694,$0,$0,$0,$468
Mayo,$0,$0,$0,$0,$0,$0,$0,"$21,489",$0
Junio,$0,$159,$0,"$1,016",$60,$0,$422,$0,$0
