Meses,2015,2016,2017,2018,2019,2020,2021,2022,2023
Julio,"$24,015","$3,783","$4,922",$772,"$2,538","$13,006","$8,311","$23,491","$30,253"
Agosto,"$52,855","$7,539","$4,834","$2,964","$3,593","$16,449","$8,157","$30,369","$40,223"
Septiembre,"$5,886","$6,254","$10,342","$3,569","$5,496","$5,673","$19,898","$30,714","$34,174"
Octubre,"$3,984","$8,331","$19,544",$142,"$5,110","$8,641","$35,094","$17,125","$31,001"
Noviembre,"$20,834","$7,867","$2,643","$2,159","$2,049","$26,904","$24,596","$29,431","$36,929"
Diciembre,"$9,815","$20,052","$1,197",$0,"$1,076","$9,174","$25,167","$46,178","$24,619"
Enero,"$5,202","$2,941","$4,002",$459,"$9,293","$12,327","$18,365","$37,976","$24,470"
Febrero,"$5,679","$12,370","$5,482",$624,"$5,845","$7,187","$20,416","$40,156","$36,973"
Marzo,"$1,521","$4,062","$5,486","$1,216","$2,980","$10,495","$30,245","$27,981","$51,936"
Abril,"$8,663","$18,476","$3,445","$1,613","$16,881","$1,303","$30,909","$29,601","$41,655"
Mayo,"$7,299","$5,877","$11,746","$1,130","$6,288","$1,167","$20,148","$30,587","$40,568"
Junio,"$4,297","$5,282","$8,348","$1,319","$8,790","$6,200","$32,398","$31,547","$39,090"
