Meses,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,,229317947,160574140,90997096,123202167,137044284,106958280,111562738,133837315,141353912,149450101,203080412,157282606,165719770
Agosto,,190867431,177984614,140318337,129115523,129060872,131270837,125965003,151682769,142577657,183938759,218578514,186018978,195852654
Septiembre,145948766,193786612,158974016,137340520,124296364,135958391,123420221,25255189,127757751,149338832,195025551,182749279,130504316,192026398
Octubre,232582135,190552422,180238015,145403245,141567267,122369039,120458455,24410873,150804225,158022695,202279667,200221301,169763384,177194325
Noviembre,185852362,164995192,170265541,137233277,125350686,105477831,105692908,77102734,114338469,137546576,198261986,198174849,140843367,160653485
Diciembre,218427336,205750546,213472576,147997567,125362862,112791999,132678679,104037416,142159416,146304606,237528752,200074304,169981850,177301991
Enero,170095578,129567850,157149338,127810278,99204440,89693595,105230402,80518286,99785962,113796232,159633298,160998010,114964851,
Febrero,171610814,142620526,132394164,125550152,128064181,119648774,105862761,107737774,136912810,138293796,200272788,150909366,132851294,
Marzo,226693410,180901694,137554282,146358210,152518039,134205433,151478467,120517276,143146705,47500061,234691032,208543315,176197103,
Abril,250806899,184600548,167219079,125479509,169855767,142334332,129806686,138286951,145826074,0,184682237,156740713,153351946,
Mayo,249422215,193557255,163232040,142203292,157553454,138744069,146608630,144129001,164995014,95552643,221631219,196688258,198124457,
Junio,302873010,217870838,193466219,142442436,149624899,143993972,145808929,136980734,154915185,157965761,201336410,195902644,181942802,
