Meses,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,,169153440,120506617,77925261,100538105,109881144,94170669,93803098,114380933,129217337,135697081,186630148,134764043,139859694
Agosto,,137837337,138036480,113055624,97449994,99237508,114302048,109584136,136168177,131208008,160501781,193536604,162144838,175927609
Septiembre,95543812,141270208,116143501,108593520,101589171,113531980,108260833,23681491,117031230,139342135,170510485,163644430,119272495,167372471
Octubre,157761918,139906264,130826134,110805615,109942729,103095439,106712726,20987071,135969589,148959932,175094108,174670345,151094634,158945543
Noviembre,122042943,123577545,124029830,108538038,102993057,92732047,96386918,70955850,78855755,123072909,181585571,168591072,127235365,145227018
Diciembre,141172728,158061381,155687085,114958987,103803509,94394770,113370123,92114301,126100503,132429101,194630914,184272989,141497039,143618315
Enero,112732347,104409920,120637196,102955791,83112224,69100881,93950403,58716479,90487684,103516120,145544945,127611653,98569416,
Febrero,121043823,114643973,95875317,104176829,104957494,105757466,96279436,75847927,123693256,129774696,177358624,136771349,124981585,
Marzo,152858864,139172850,104986206,118178823,123619897,113876366,131023224,108350030,128471159,42328206,204017269,186937476,156262157,
Abril,176821141,137755374,132208531,98223670,133658109,122598265,115222231,94228285,131274892,0,165975531,146306938,133060950,
Mayo,180816958,146614614,124538612,112166455,130946818,117298438,127318557,132121418,150751192,65288906,204370081,173064464,173439788,
Junio,192216602,164194459,139333259,112611941,122733447,120518951,122364620,123994084,140845085,142720789,185720670,174681630,163531264,
