Meses,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,,60164507,40067523,13071835,22664062,27163140,12787611,17759640,19456382,12136575,13753020,16450264,22518563,25860076
Agosto,,53030094,39948134,27262713,31665529,29823364,16968789,16380867,15514592,11369649,23436978,25041910,23874140,19925045
Septiembre,50404954,52516404,42830515,28747000,22707193,22426411,15159388,1573698,10726521,9996697,24515066,19104849,11231821,24653927
Octubre,74820217,50646158,49411881,34597630,31624538,19273600,13745729,3423802,14834636,9062763,27185559,25550956,18668750,18248782
Noviembre,63809419,41417647,46235711,28695239,22357629,12745784,9305990,6146884,35482714,14473667,16676415,29583777,13608002,15426467
Diciembre,77254608,47689165,57785491,33038580,21559353,18397229,19308556,11923115,16058913,13875505,42897838,15801315,28484811,33683676
Enero,57363231,25157930,36512142,24854487,16092216,20592714,11279999,21801807,9298278,10280112,14088353,33386357,16395435,
Febrero,50566991,27976553,36518847,21373323,23106687,13891308,9583325,31889847,13219554,8519100,22914164,14138017,7869709,
Marzo,73834546,41728844,32568076,28179387,28898142,20329067,20455243,12167246,14675546,5171855,30673763,21605839,19934946,
Abril,73985758,46845174,35010548,27255839,36197658,19736067,14584455,44058666,14551182,0,18706706,10433775,20290996,
Mayo,68605257,46942641,38693428,30036837,26606636,21445631,19290073,12007583,14243822,30263737,17261138,23623794,24684669,
Junio,110656408,53676379,54132960,29830495,26891452,23475021,23444309,12986650,14070100,15244972,15615740,21221014,18411538,
