Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,4015,3798,3849,3973.24,3961.82,3903.57,3240.88,3267.74,3192.07,2798.6,2050.71,1456,1424,1563,1339,1247,1199,921.305,916.563,1191.604,1149.952,1424.057,1323.563,1116.21,1137.657
Agosto,4097,3833,3925,4052.08,3564.92,3951.76,3999.43,3811.06,3390.32,2629.01,1828.84,1524,1320,1637,1383,1073,987,1017.697,1022.499,1261.985,1118.104,1390.682,1258.927,1328.614,1288.469
Septiembre,3760,3529,3418,3519.73,3790.86,3134.62,3680.66,3502.11,2900.03,2191.29,1838.87,1494,1563,1552,1221,1103,1045,1004.383,298.925,1100.899,1019.672,1411.494,1250.39,986.242,1184.864
Octubre,3508,4001,3754,3999.78,3973.87,3642.76,3225.53,3594.08,3191.3,2627.42,1701.09,1537,1845,1648,1407,1267,1084,929.808,491.446,1195.465,1256.356,1368.021,1178.346,1136.376,1225.356
Noviembre,3214,3622,3397,3780.58,2618.63,3132.41,3672.11,3428.15,2929.29,2024.25,1509.93,1516,1630,1421,1196,963,939,807.475,679.933,1117.086,1080.016,1102.785,1236.028,1094.348,1183.248
Diciembre,3337,3254,2607,2884.12,3218.51,3345.24,3453.52,2994.62,2243.99,2085.32,1483.95,1421,1618,1249,1024,1124,957,930.933,883.229,1002.269,999.152,1409.241,1147.797,1186.4,1042.827
Enero,3218,3450,3347,3369.35,3411.34,2846.59,3268.83,2896.66,2759.77,1884.92,1112.35,1404,1551,1400,1223,990,846.663,848.675,1034.252,1068.335,851.655,1200.567,1062.987,1103.13,1188.57
Febrero,4006,3731,3650,3510.82,3773.04,3811.92,3580.36,3103.92,3098.75,2044.12,1582.35,1665,1833,1459,1273,1110,1062.442,1037.563,1173.608,1118.361,1075.097,1357.346,1176.881,1217.311,1122.952
Marzo,4586,4240,3645,3999.94,4248.01,4196.71,4305.52,3530.07,2973.62,2254.4,1812.86,1902,1868,1390,1359,1296,1042.877,1068.791,1297.111,1173.545,526.502,1573.471,1471.993,1462.733,1213.064223
Abril,3624,3630,3696,3510.38,3796.51,3984.9,3280.32,2874.42,3075.97,2077.8,1538,1621,1654,1569,1294,1153,999.706,930.096,1331.006,1146.036,451.312,1365.891,1297.442,1187.539,1276.575515
Mayo,4247,4060,4048,4017.76,3487.29,3920.28,3958.23,3535.51,3002.43,1832,1488,1522,1846,1403,1251,1175,999.238,1071.252,1365.692,1214.399,1239.998,1389.212,1320.932,1396.779,1301
Junio,4199,3862,3474,3919.76,4067.16,3994.1,3743.7,3292.86,2796.04,2056.57,1581,1485,1740,1210,1262,1274,1025.647,1046.029,1232.813,1125.186,1597.434,1297.643,1345.234,1277.907,
