Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,612.8,672.2,670.5,660.9,739.1,763.6,766.2,749.7,762.9,763.1,766.4,751.5,758.2,836.3,741.0,727.5,727.7,738.6,694.5,646.2,654.3,662.7,671.4,677.0,690.0
Agosto,622.2,648.5,680.4,713.6,735.2,721.1,758.6,758.3,772.4,756.3,762.8,752.3,717.6,749.0,740.7,734.8,720.2,687.1,715.2,657.2,687.8,611.6,599.4,613.7,691.7
Septiembre,627.6,663.0,678.3,692.0,707.7,696.9,758.9,779.2,768.5,760.3,758.4,747.9,719.7,746.9,769.4,730.5,640.2,719.4,354.5,693.2,680.2,614.1,639.2,645.9,714.8
Octubre,626.0,652.8,678.7,723.3,752.8,738.4,765.7,796.7,789.1,751.1,773.3,766.0,771.8,767.7,781.9,745.6,753.6,671.2,973.5,811.5,666.0,673.1,479.7,497.4,735.9
Noviembre,592.6,647.2,671.2,666.1,750.4,673.6,769.2,752.1,720.6,714.3,728.0,715.0,740.8,858.9,702.5,722.3,681.7,691.7,-397.1,563.9,646.7,607.8,617.9,592.7,656.4
Diciembre,581.7,670.8,624.2,699.2,645.8,707.9,677.6,733.5,712.7,697.8,724.0,698.3,644.4,483.6,692.3,665.0,670.5,675.4,311.6,610.9,625.0,532.8,673.5,606.4,651.6
Enero,546.2,569.4,612.7,617.1,627.6,644.8,677.9,687.5,666.5,644.4,661.5,638.2,689.8,628.8,637.5,643.4,614.5,637.1,456.4,539.4,568.3,530.4,542.9,554.1,601.9
Febrero,548.1,548.5,577.8,627.9,641.8,611.7,644.2,644.4,654.7,635.8,659.4,661.8,610.3,638.7,616.5,604.2,615.8,560.5,736.1,457.5,512.0,479.8,550.7,525.1,582.1
Marzo,598.9,587.2,658.9,691.4,696.1,718.6,721.1,751.8,727.8,692.1,738.8,694.0,705.9,778.6,710.7,691.4,705.0,689.6,496.7,619.2,659.9,609.9,540.5,576.3,667.6
Abril,580.2,604.7,612.7,653.3,685.2,718.6,700.7,700.1,690.4,655.0,711.0,691.1,622.5,698.6,697.1,653.2,633.2,619.6,750.0,647.8,446.7,612.7,529.9,591.5,624.8
Mayo,631.5,663.0,700.0,735.3,708.1,751.5,744.2,783.4,735.4,718.2,741.5,727.6,749.6,747.1,697.3,719.9,711.5,666.0,765.2,625.5,469.6,627.4,694.4,658.3,740.1
Junio,638.6,655.7,700.0,686.7,710.3,751.9,750.3,772.7,742.5,709.6,734.0,707.5,569.4,701.2,710.4,693.3,712.9,680.5,571.0,663.0,592.5,600.1,666.1,666.3,665.8
