Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,347.9,342.2,329.5,342.6,333.3,373.0,353.1,360.8,347.7,313.3,271.5,234.3,245.1,224.9,214.5,208.6,205.8,192.7,200.8,145.3,181.2,171.5,149.4,160.1,146.2
Agosto,350.3,367.9,351.5,328.1,352.5,379.5,361.5,359.8,333.3,307.8,258.1,266.7,225.1,229.8,209.0,199.0,203.1,204.5,187.5,209.4,175.1,176.6,217.2,159.0,163.2
Septiembre,346.0,336.4,327.4,348.2,338.8,291.5,360.9,344.8,315.6,274.9,272.3,240.4,233.9,232.5,211.7,209.6,203.5,187.1,127.6,186.2,165.8,167.0,170.5,144.5,146.1
Octubre,360.5,353.6,334.9,357.3,409.4,356.4,378.7,382.0,339.2,303.2,257.6,275.5,258.1,219.8,207.9,203.3,201.6,179.8,118.2,191.1,195.7,157.2,107.2,116.1,149.4
Noviembre,333.4,338.6,338.4,328.4,323.9,341.0,391.7,367.2,312.8,276.6,262.2,244.2,230.0,199.3,214.5,188.6,199.7,189.8,-89.2,172.1,161.8,162.1,171.3,149.6,133.5
Diciembre,331.4,341.5,314.1,346.3,334.2,363.2,338.9,341.3,308.7,282.6,242.4,223.6,243.6,233.9,208.5,198.6,213.7,175.8,138.8,162.3,165.0,161.9,157.8,143.5,138.2
Enero,286.0,292.4,265.5,281.6,262.2,313.2,306.1,302.5,269.6,236.2,219.9,211.2,170.3,175.0,170.8,161.5,158.4,159.7,141.8,154.1,137.2,131.7,163.1,125.9,108.5
Febrero,327.8,328.4,278.8,322.4,339.0,313.8,325.0,314.2,299.1,253.6,234.6,222.4,221.7,194.7,189.6,168.0,176.1,154.4,174.7,145.7,120.3,147.0,141.3,123.8,132.3
Marzo,355.5,339.5,341.4,331.1,343.6,357.7,352.9,352.3,308.1,258.5,254.4,246.0,220.1,212.7,207.0,203.9,207.7,191.8,98.4,180.0,184.4,176.6,146.7,142.9,131.9
Abril,332.5,319.7,310.0,317.1,339.4,362.4,354.4,319.6,290.7,251.4,245.4,228.1,200.3,217.7,199.0,177.4,175.7,184.6,273.4,164.6,138.2,139.0,128.9,143.3,145.2
Mayo,368.8,343.7,331.3,342.4,364.0,364.6,366.1,349.8,318.0,268.5,269.4,246.7,343.7,215.8,200.4,209.4,201.7,182.3,165.3,188.5,160.0,159.6,178.5,125.6,103.2
Junio,350.5,314.8,353.6,317.9,351.8,361.1,352.5,342.0,299.8,261.8,259.4,242.0,186.7,222.1,201.4,207.8,200.5,184.9,208.4,170.7,173.1,126.0,137.2,145.9,143.4
