Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,565.9,593.5,617.0,643.0,720.1,693.4,681.3,640.8,644.1,588.4,632.4,612.7,621.7,649.4,562.8,591.5,583.9,619.0,588.1,572.7,611.8,694.8,641.6,649.2,716.7
Agosto,580.6,601.7,614.0,648.3,611.8,681.2,682.4,666.9,652.6,604.4,650.9,642.0,603.4,602.6,591.3,574.8,590.0,601.6,629.6,572.1,587.7,640.5,661.6,611.8,695.8
Septiembre,589.9,610.6,621.1,651.7,622.6,639.5,668.1,637.6,615.3,562.8,607.6,629.9,584.0,676.7,569.5,536.8,547.7,592.0,519.6,522.3,580.2,669.6,705.5,588.1,679.1
Octubre,555.3,578.1,604.0,629.9,710.1,632.1,660.5,667.5,633.6,561.5,621.4,595.8,581.4,559.6,598.6,560.3,603.4,537.6,601.3,693.0,581.3,625.4,611.9,398.1,699.8
Noviembre,552.4,550.1,595.5,589.2,614.5,576.6,579.1,607.1,542.9,525.6,573.4,570.8,531.8,555.4,516.3,526.9,506.2,539.4,-559.0,452.3,498.0,570.9,593.2,560.5,569.0
Diciembre,533.2,540.7,533.0,632.7,594.0,610.1,583.4,599.0,544.3,506.0,568.7,521.8,530.1,620.0,489.3,484.7,499.9,506.4,235.9,489.3,503.1,522.0,555.1,505.6,536.9
Enero,520.5,540.8,589.9,598.3,584.7,592.7,572.8,568.6,531.1,502.4,568.4,501.0,517.7,501.8,488.2,483.9,513.5,506.8,386.8,441.7,469.3,522.1,511.1,444.6,482.4
Febrero,445.9,460.6,502.3,521.3,531.0,463.0,471.8,485.0,452.0,446.9,441.8,478.2,437.1,417.0,422.0,426.7,445.5,393.8,390.4,362.4,366.3,441.5,430.8,395.0,466.1
Marzo,462.2,492.0,507.2,573.3,545.3,569.6,535.7,557.1,500.5,471.3,596.5,506.9,509.9,488.3,485.4,478.7,497.4,488.9,446.1,442.2,481.1,512.0,481.6,452.7,602.9
Abril,477.1,515.4,520.1,562.7,577.5,660.4,559.2,546.9,496.4,511.3,566.7,515.2,481.6,508.7,494.8,473.9,504.4,492.1,461.9,459.0,502.0,525.7,485.7,479.7,595.7
Mayo,548.8,566.7,590.4,624.4,594.3,634.9,600.6,615.9,565.3,517.2,571.2,558.6,646.5,530.9,534.2,568.7,554.4,521.5,561.1,506.1,643.1,596.4,533.1,583.1,578.2
Junio,553.2,581.5,615.0,605.7,632.2,684.4,655.4,651.2,579.0,569.7,657.8,574.6,514.4,545.3,518.4,542.8,592.7,593.0,502.7,561.4,633.2,582.8,663.8,647.4,698.6
