Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"1,568.4","1,645.1","1,659.6","1,686.5","1,828.8","1,864.2","1,836.6","1,783.7","1,781.2","1,694.9","1,705.1","1,629.7","1,655.7","1,746.2","1,549.4","1,558.3","1,548.5","1,584.0","1,520.4","1,398.1","1,480.0","1,558.0","1,489.6","1,514.6","1,584.0"
Agosto,"1,594.0","1,685.8","1,686.6","1,732.7","1,740.2","1,818.5","1,834.9","1,817.6","1,790.1","1,699.3","1,703.0","1,692.2","1,582.0","1,610.1","1,571.6","1,537.7","1,545.3","1,526.8","1,558.0","1,469.3","1,480.5","1,458.7","1,504.2","1,413.6","1,580.9"
Septiembre,"1,602.4","1,634.0","1,664.9","1,731.9","1,704.1","1,661.6","1,821.1","1,791.3","1,728.6","1,629.3","1,669.8","1,647.8","1,558.0","1,684.1","1,580.4","1,505.5","1,422.2","1,529.3","1,031.1","1,430.1","1,457.8","1,479.9","1,544.4","1,406.7","1,571.3"
Octubre,"1,582.6","1,620.9","1,667.6","1,753.2","1,911.9","1,758.2","1,841.5","1,880.6","1,794.8","1,646.3","1,683.8","1,667.8","1,643.3","1,578.6","1,615.5","1,537.0","1,595.1","1,421.0","1,726.8","1,730.8","1,488.7","1,485.5","1,225.7","1,038.4","1,616.8"
Noviembre,"1,516.4","1,573.8","1,620.7","1,623.5","1,725.9","1,622.5","1,771.5","1,757.8","1,604.4","1,547.3","1,593.6","1,560.8","1,533.6","1,633.4","1,461.3","1,468.6","1,413.3","1,452.0","-1,060.7","1,217.0","1,336.6","1,369.8","1,410.1","1,333.0","1,389.7"
Diciembre,"1,481.6","1,610.4","1,513.6","1,720.1","1,613.4","1,715.7","1,633.6","1,706.0","1,595.8","1,516.0","1,566.0","1,472.5","1,448.0","1,375.2","1,420.8","1,379.3","1,417.3","1,390.5",690.4,"1,293.2","1,322.5","1,245.5","1,412.6","1,285.6","1,358.7"
Enero,"1,394.3","1,442.4","1,507.6","1,535.7","1,510.3","1,580.9","1,590.2","1,589.9","1,496.2","1,412.9","1,480.0","1,380.9","1,406.9","1,330.6","1,329.3","1,318.6","1,318.9","1,335.9","1,086.6","1,167.9","1,207.2","1,213.4","1,245.3","1,155.4","1,223.3"
Febrero,"1,359.4","1,373.3","1,395.4","1,507.4","1,546.5","1,417.7","1,468.6","1,474.7","1,436.2","1,364.7","1,364.4","1,391.1","1,297.3","1,274.6","1,251.8","1,225.2","1,267.1","1,141.2","1,324.5",994.5,"1,026.5","1,093.8","1,148.9","1,065.6","1,210.9"
Marzo,"1,455.2","1,457.1","1,548.4","1,635.1","1,618.4","1,677.9","1,641.4","1,693.9","1,565.9","1,452.9","1,621.0","1,478.7","1,466.2","1,514.1","1,437.4","1,406.7","1,441.9","1,399.9","1,075.4","1,271.9","1,356.3","1,324.2","1,195.9","1,201.1","1,433.2"
Abril,"1,426.6","1,486.7","1,481.5","1,570.0","1,637.1","1,774.9","1,647.8","1,595.7","1,506.7","1,445.7","1,553.4","1,462.8","1,325.1","1,453.7","1,418.8","1,336.2","1,343.9","1,324.2","1,519.0","1,304.1","1,115.8","1,303.7","1,172.5","1,243.3","1,397.4"
Mayo,"1,590.5","1,603.2","1,682.5","1,743.0","1,700.2","1,785.2","1,743.8","1,782.3","1,649.0","1,546.1","1,613.2","1,563.4","1,972.6","1,522.5","1,465.3","1,531.9","1,501.2","1,399.9","1,527.5","1,348.9","1,302.9","1,411.3","1,433.5","1,397.0","1,452.8"
Junio,"1,573.3","1,590.7","1,701.5","1,648.2","1,723.4","1,830.2","1,789.5","1,798.1","1,652.6","1,560.4","1,681.6","1,553.7","1,223.8","1,498.1","1,459.3","1,475.0","1,534.4","1,491.1","1,302.5","1,423.9","1,429.2","1,336.3","1,495.4","1,490.2","1,539.6"
