Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,3.6,4.2,3.7,3.2,3.7,3.2,3.0,2.7,2.3,2.4,2.7,2.6,2.2,2.3,2.4,2.3,2.4,2.2,2.4,2.1,2.7,2.6,2.1,2.3,2.2
Agosto,3.1,3.4,3.4,3.9,3.2,3.1,2.5,2.5,1.9,2.5,2.7,2.3,2.2,2.3,2.3,2.1,2.5,2.2,2.4,1.9,2.1,1.8,2.1,2.2,2.6
Septiembre,3.7,3.5,3.7,3.3,2.6,3.1,3.2,2.8,3.0,2.4,2.6,2.2,2.1,2.4,2.1,1.9,2.2,2.5,1.6,1.5,2.0,1.8,2.1,1.9,1.4
Octubre,3.3,3.4,3.7,4.1,2.8,2.1,2.9,2.6,2.0,2.6,2.5,2.3,1.8,2.1,2.5,2.7,2.3,2.1,2.5,3.6,2.2,2.2,2.0,1.0,1.9
Noviembre,3.5,2.7,3.8,3.8,3.0,2.8,2.5,2.5,2.5,2.5,2.3,2.4,2.3,1.9,2.1,1.9,2.2,2.0,-2.0,1.9,2.2,1.7,2.0,1.8,1.7
Diciembre,3.3,3.6,2.8,3.5,5.1,2.7,2.4,2.6,2.3,2.2,2.3,2.3,2.1,2.7,2.4,2.1,1.5,2.0,0.2,1.9,1.9,2.0,2.3,1.7,2.5
Enero,3.4,3.4,3.1,3.5,2.4,2.6,2.8,2.9,2.6,2.1,2.2,2.8,2.2,2.2,1.9,2.3,2.3,2.4,0.6,2.2,2.0,1.9,2.2,1.9,1.9
Febrero,3.3,3.7,3.5,2.6,2.4,2.6,2.6,2.7,3.0,2.8,2.1,2.4,2.7,2.1,1.9,2.1,2.0,1.9,0.6,1.8,1.7,2.0,1.8,1.7,1.9
Marzo,3.7,4.0,4.9,3.7,2.5,3.1,2.7,2.6,2.5,2.7,2.9,2.7,2.7,2.5,2.4,2.2,2.1,2.0,1.1,2.3,2.5,2.3,2.1,2.1,1.9
Abril,3.3,3.3,2.4,2.5,3.2,3.0,2.8,2.6,2.0,2.4,2.8,2.4,2.4,2.2,2.4,2.2,2.4,2.2,1.6,2.0,1.9,2.0,2.0,2.0,1.9
Mayo,3.5,3.5,4.1,3.8,2.8,3.1,2.5,4.2,2.7,3.4,2.4,2.6,3.0,2.2,2.0,2.2,2.2,2.0,2.2,2.0,2.0,2.1,2.2,1.9,2.1
Junio,3.4,3.3,3.2,3.3,2.6,3.0,3.3,3.2,2.5,2.6,2.5,2.2,1.4,2.5,2.3,2.2,2.1,2.2,2.0,2.5,2.4,2.1,2.4,2.0,1.8
