Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"1,859.4","1,930.8","1,940.9","2,042.6","2,080.8","2,122.2","2,196.6","2,146.3","2,165.0","2,046.6","2,075.3","2,032.3","1,930.3","1,953.9","1,874.3","1,869.9","1,859.6","1,820.7","1,794.2","1,647.6","1,704.3","1,731.9","1,757.5","1,690.7","1,795.5"
Agosto,"1,927.8","2,001.5","2,050.3","2,113.2","2,142.1","2,236.4","2,266.5","2,251.1","2,213.5","2,109.2","2,097.7","2,104.1","1,956.5","1,993.7","1,948.9","1,869.5","1,865.0","1,882.9","1,862.7","1,659.5","1,735.3","1,782.7","1,829.7","1,747.5","1,783.6"
Septiembre,"1,878.8","1,886.8","1,935.8","2,030.1","2,118.0","1,927.0","2,214.9","2,183.9","2,103.1","1,956.7","2,021.0","2,012.8","1,949.8","1,965.5","1,895.7","1,795.2","1,812.7","1,714.4",924.6,"1,604.7","1,685.5","1,696.3","1,718.2","1,311.8","1,769.2"
Octubre,"1,876.9","1,940.2","1,980.2","2,080.3","2,155.4","2,153.1","2,144.7","2,225.2","2,133.6","2,016.7","2,082.8","2,029.1","1,979.3","1,990.4","1,925.8","1,895.9","1,868.9","1,805.1",305.9,"1,598.8","1,704.1","1,576.1","1,713.6","1,588.0","1,760.6"
Noviembre,"1,746.5","1,791.3","1,813.4","1,960.7","1,921.0","1,942.7","2,047.2","2,094.3","1,966.0","1,849.5","1,907.5","1,826.0","1,827.3","1,860.6","1,741.7","1,684.7","1,676.2","1,643.4",770.7,"1,500.4","1,558.5","1,517.3","1,601.2","1,488.3","1,571.6"
Diciembre,"1,747.2","1,838.0","1,837.7","1,944.7","1,974.3","2,045.1","2,018.2","2,063.8","1,937.5","1,818.3","1,950.3","1,795.0","1,785.7","1,779.3","1,695.5","1,670.8","1,710.7","1,670.6","1,039.8","1,482.1","1,561.4","1,510.9","1,554.4","1,448.3","1,465.8"
Enero,"1,637.0","1,759.7","1,801.7","1,887.3","1,859.7","1,867.6","1,909.6","1,944.4","1,856.8","1,791.9","1,817.8","1,762.3","1,720.9","1,714.1","1,678.2","1,636.3","1,612.8","1,543.8","1,156.2","1,410.0","1,324.9","1,438.3","1,468.8","1,377.3","1,436.2"
Febrero,"1,607.4","1,586.0","1,617.5","1,737.4","1,803.6","1,699.8","1,788.3","1,829.0","1,758.4","1,629.0","1,738.3","1,629.4","1,638.1","1,562.6","1,528.0","1,521.9","1,561.6","1,456.4","1,058.3","1,312.4","1,380.6","1,319.7","1,311.4","1,246.8","1,320.3"
Marzo,"1,716.5","1,814.7","1,817.9","1,969.4","1,949.6","2,070.6","2,019.7","2,033.9","1,864.3","1,760.2","1,993.4","1,814.5","1,755.6","1,745.5","1,745.7","1,665.5","1,653.2","1,605.0","1,320.7","1,481.3","1,416.9","1,500.8","1,504.8","1,426.0","1,466.5"
Abril,"1,722.5","1,762.3","1,816.8","1,893.6","1,951.9","2,078.7","1,964.5","1,971.3","1,889.7","1,814.3","1,895.8","1,793.3","1,766.8","1,747.2","1,712.9","1,690.7","1,675.0","1,580.0","1,351.4","1,471.6","1,439.2","1,504.2","1,386.2","1,414.3","1,493.0"
Mayo,"1,875.8","1,938.5","1,986.1","2,059.2","2,037.4","2,180.6","2,164.3","2,200.1","2,032.8","1,897.4","2,009.1","1,890.7","1,903.4","1,844.6","1,784.4","1,804.3","1,797.6","1,746.5","1,493.0","1,609.7","1,612.9","1,654.0","1,666.0","1,670.7","1,711.3"
Junio,"1,865.7","1,882.5","1,964.1","1,998.8","2,106.4","2,176.3","2,135.4","2,139.0","2,014.5","1,961.1","1,990.3","1,938.3","1,977.7","1,797.3","1,831.6","1,799.2","1,806.8","1,731.0","1,579.6","1,652.2","1,686.4","1,592.3","1,713.6","1,772.2","1,735.7"
