Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"$18,879","$19,038","$18,144","$30,354","$22,931","$17,587","$16,364","$14,219","$12,853","$14,237","$16,217","$14,582","$17,446","$14,974","$19,215","$16,194","$22,774","$10,334","$13,785","$22,456","$20,736","$24,401","$25,298","$18,533","$20,582"
Agosto,"$18,926","$20,572","$23,366","$20,961","$22,691","$21,723","$23,496","$22,568","$24,314","$23,654","$22,675","$16,464","$23,319","$25,458","$25,200","$19,848","$19,743","$23,939","$22,597","$26,187","$23,723","$20,127","$21,848","$29,362","$27,117"
Septiembre,"$19,570","$16,710","$17,265","$22,130","$25,643","$26,523","$23,447","$26,312","$20,603","$22,623","$23,688","$30,659","$25,895","$21,854","$19,292","$23,546","$16,852","$23,033","$12,466","$22,178","$18,942","$21,606","$23,524","$24,356","$25,675"
Octubre,"$18,605","$19,882","$19,652","$27,751","$18,739","$25,281","$22,332","$24,185","$22,072","$24,814","$19,074","$26,518","$23,972","$25,460","$26,670","$18,067","$19,958","$21,089","$23,889","$25,606","$24,433","$27,542","$26,549","$25,003","$24,850"
Noviembre,"$23,174","$22,504","$23,179","$25,775","$26,443","$27,380","$31,440","$29,050","$23,242","$22,306","$31,700","$25,183","$27,235","$27,318","$26,361","$17,207","$22,117","$22,620","$26,869","$25,585","$18,999","$20,650","$21,634","$25,086","$25,917"
Diciembre,"$29,681","$25,792","$23,429","$33,774","$32,379","$31,350","$31,199","$29,075","$26,297","$30,088","$29,906","$28,935","$29,251","$30,320","$26,445","$31,832","$24,891","$27,353","$30,786","$21,635","$7,111","$22,661","$33,700","$23,422","$19,664"
Enero,"$18,217","$18,117","$18,365","$21,115","$26,089","$25,507","$22,382","$20,452","$28,631","$25,150","$21,578","$22,996","$21,956","$22,988","$21,439","$29,630","$22,843","$22,867","$23,993","$20,959","$35,712","$20,473","$18,470","$24,490","$25,481"
Febrero,"$14,731","$15,537","$16,467","$18,552","$17,499","$19,058","$19,667","$17,922","$18,974","$25,263","$18,026","$23,135","$16,149","$18,481","$22,747","$17,836","$18,714","$19,244","$20,360","$21,896","$21,283","$16,972","$20,280","$21,437","$19,790"
Marzo,"$16,812","$18,337","$17,325","$20,763","$19,243","$16,350","$20,368","$20,435","$17,242","$13,983","$20,823","$19,343","$25,944","$19,260","$18,724","$20,009","$21,715","$21,373","$16,249","$19,405","$13,885","$20,079","$22,970","$22,439","$19,979"
Abril,"$15,474","$16,530","$19,388","$24,926","$23,902","$29,827","$21,984","$23,443","$21,327","$20,284","$25,700","$19,868","$17,775","$21,159","$19,748","$21,569","$20,616","$21,116","$25,259","$20,575","$18,186","$23,472","$19,291","$20,843",
Mayo,"$19,338","$21,309","$27,962","$24,565","$25,880","$24,822","$23,372","$16,983","$19,602","$19,555","$20,742","$23,615","$21,399","$25,342","$15,769","$17,923","$20,655","$21,320","$21,867","$23,983","$13,608","$22,096","$22,032","$25,192",
Junio,"$22,967","$23,184","$25,163","$28,916","$34,863","$32,827","$36,129","$34,384","$32,937","$35,444","$34,667","$29,665","$42,273","$29,721","$24,932","$24,491","$33,788","$29,992","$26,127","$24,127","$17,612","$25,930","$27,532","$31,492",
