Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"$30,440","$28,508","$29,963","$36,341","$39,782","$46,986","$40,501","$34,118","$30,979","$28,857","$23,763","$26,777","$8,447","$10,166","$13,292","$7,101","$1,413","$5,164","$23,533","$43,843","$34,176","$49,846","$52,258","$47,221","$62,563"
Agosto,"$27,530","$32,026","$34,774","$36,347","$38,410","$43,815","$49,794","$35,164","$28,903","$25,530","$24,219","$25,272","$30,450","$36,364","$37,187","$23,131","$14,709","$26,933","$30,675","$41,344","$23,375","$35,245","$65,359","$56,799","$65,371"
Septiembre,"$35,375","$30,579","$28,687","$35,698","$36,642","$41,458","$49,060","$33,281","$33,180","$22,747","$26,002","$26,811","$32,884","$32,368","$30,182","$28,847","$17,766","$26,869","$11,821","$35,466","$32,046","$36,568","$46,028","$48,663","$57,190"
Octubre,"$31,282","$37,347","$32,249","$51,436","$47,786","$54,716","$50,100","$35,475","$35,942","$32,739","$28,572","$34,732","$32,910","$39,526","$43,035","$33,895","$16,614","$32,534","$16,274","$55,467","$49,375","$55,275","$48,957","$48,567","$65,005"
Noviembre,"$32,203","$38,827","$35,307","$39,809","$43,809","$50,233","$53,208","$41,050","$28,727","$36,309","$32,087","$31,996","$35,395","$33,818","$31,245","$21,742","$29,357","$26,172","$36,606","$50,288","$43,964","$50,069","$46,171","$54,728","$55,111"
Diciembre,"$46,122","$39,623","$35,169","$50,135","$57,533","$59,086","$55,228","$34,182","$35,503","$30,483","$37,058","$28,444","$43,073","$42,326","$40,720","$28,565","$33,024","$40,872","$37,330","$47,481","$53,159","$67,766","$67,851","$51,499","$63,410"
Enero,"$36,280","$35,597","$32,043","$49,032","$51,316","$47,950","$43,292","$33,501","$36,297","$23,060","$26,976","$35,527","$33,340","$39,998","$36,074","$25,612","$24,617","$34,572","$40,916","$43,904","$37,886","$48,428","$50,653","$50,026","$62,374"
Febrero,"$29,336","$32,647","$34,797","$35,325","$50,567","$49,143","$33,472","$30,399","$23,140","$20,081","$26,262","$27,959","$33,161","$35,654","$39,644","$23,893","$26,505","$35,709","$28,405","$37,596","$33,727","$48,280","$51,285","$51,487","$46,493"
Marzo,"$33,041","$32,050","$31,238","$43,038","$48,953","$58,013","$42,229","$20,919","$23,936","$26,166","$33,902","$39,440","$35,439","$34,386","$30,296","$28,557","$31,483","$41,327","$40,732","$43,677","$22,966","$52,811","$61,257","$65,813","$43,979"
Abril,"$26,225","$31,133","$35,930","$35,975","$46,516","$53,494","$39,228","$33,889","$27,060","$19,637","$25,472","$28,976","$32,265","$36,591","$31,377","$22,964","$26,933","$28,482","$40,969","$43,620","$5,535","$54,979","$51,598","$55,031",
Mayo,"$33,134","$32,415","$45,932","$43,936","$40,214","$50,568","$39,668","$35,568","$34,122","$22,377","$30,163","$26,772","$32,016","$37,346","$28,697","$27,107","$29,997","$33,209","$52,758","$44,829","$4,700","$55,892","$56,135","$66,995",
Junio,"$29,027","$35,500","$41,935","$42,180","$49,653","$51,200","$38,177","$29,121","$28,552","$22,934","$36,288","$31,464","$37,088","$32,288","$30,294","$30,080","$33,188","$37,325","$47,318","$31,541","$40,824","$56,504","$52,299","$55,396",
