Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"$108,842","$110,428","$132,550","$126,097","$123,359","$126,647","$114,413","$111,171","$60,907","$60,064","$54,819","$62,003","$274,895","$212,162","$188,679","$325,289","$295,776","$284,873","$261,642","$328,239","$468,507","$337,916","$291,375","$196,355","$133,990"
Agosto,"$106,701","$106,013","$111,277","$141,083","$129,681","$133,645","$142,642","$120,578","$69,113","$64,558","$60,802","$63,744","$189,330","$243,718","$227,573","$165,210","$217,851","$221,988","$249,603","$289,985","$223,047","$256,736","$217,403","$207,981","$206,775"
Septiembre,"$112,764","$103,475","$98,351","$115,818","$128,087","$138,564","$139,055","$125,044","$65,830","$61,086","$70,005","$80,021","$202,058","$187,483","$213,617","$203,053","$152,477","$191,803","$209,039","$243,506","$183,262","$223,935","$213,490","$189,479","$158,539"
Octubre,"$107,743","$114,938","$111,779","$145,280","$133,619","$143,924","$136,550","$118,866","$73,549","$72,184","$69,385","$82,177","$254,100","$265,029","$245,917","$206,474","$165,502","$249,580","$164,068","$188,738","$176,371","$209,745","$224,257","$207,057","$162,225"
Noviembre,"$119,573","$122,436","$128,623","$133,054","$139,398","$154,162","$154,687","$107,061","$67,636","$73,517","$83,529","$79,098","$236,994","$235,538","$205,538","$146,416","$165,848","$210,488","$214,750","$191,959","$144,844","$171,124","$143,411","$181,480","$154,558"
Diciembre,"$137,761","$124,475","$115,678","$152,960","$170,442","$169,261","$160,699","$84,868","$78,895","$76,077","$89,612","$86,286","$249,832","$207,427","$263,468","$183,612","$149,171","$206,606","$152,346","$181,808","$155,227","$238,760","$191,265","$172,809","$142,140"
Enero,"$115,637","$111,936","$115,207","$140,013","$140,352","$148,963","$132,862","$72,529","$80,745","$62,746","$72,005","$79,557","$229,046","$220,004","$223,753","$150,189","$116,012","$151,704","$131,489","$153,281","$157,282","$167,440","$190,285","$152,457","$170,272"
Febrero,"$108,591","$90,048","$99,129","$111,383","$138,796","$133,729","$107,774","$64,476","$57,153","$59,470","$62,736","$180,863","$201,809","$210,721","$251,336","$267,210","$255,391","$265,472","$262,626","$289,677","$211,951","$235,855","$230,139","$112,053","$142,220"
Marzo,"$119,746","$114,588","$115,530","$145,985","$148,062","$155,307","$145,288","$65,635","$74,876","$72,163","$93,764","$221,131","$218,227","$199,046","$232,883","$304,019","$285,833","$330,748","$280,176","$360,739","$315,531","$332,142","$341,505","$168,356","$183,387"
Abril,"$109,329","$118,127","$129,332","$143,141","$147,680","$172,649","$149,686","$97,777","$86,363","$71,799","$76,796","$243,119","$227,785","$213,034","$254,578","$283,639","$277,190","$260,141","$297,888","$315,129","$265,660","$367,374","$336,040","$166,938",
Mayo,"$135,153","$110,011","$131,131","$134,428","$132,005","$148,307","$124,216","$72,182","$70,651","$58,734","$69,503","$204,796","$204,592","$217,287","$299,078","$247,946","$251,044","$247,887","$292,099","$294,861","$220,608","$328,913","$309,994","$133,849",
Junio,"$128,506","$115,474","$176,541","$162,108","$161,864","$167,187","$136,009","$82,247","$77,855","$72,226","$93,083","$219,854","$315,896","$215,851","$214,619","$289,910","$272,235","$291,436","$329,207","$325,190","$299,394","$308,990","$224,917","$134,393",
