Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"$60,613","$69,677","$57,949","$83,047","$167,614","$117,632","$156,719","$192,900","$159,120","$153,105","$177,720","$97,575","$65,593","$53,087","$83,261","$99,344","$96,300","$98,549","$90,992","$89,490","$255,700","$230,812","$131,283","$165,020","$224,629"
Agosto,"$98,546","$94,081","$58,943","$63,580","$75,665","$71,162","$61,384","$85,321","$62,003","$74,426","$67,153","$46,661","$25,064","$26,587","$23,924","$35,414","$41,223","$26,130","$42,946","$61,217","$215,242","$51,564","$68,725","$86,392","$148,951"
Septiembre,"$195,018","$207,655","$141,813","$171,243","$178,218","$224,022","$238,827","$243,792","$206,831","$175,153","$194,122","$196,478","$175,262","$154,248","$250,501","$225,297","$208,212","$203,856","$160,550","$250,188","$453,943","$274,789","$254,749","$333,406","$395,912"
Octubre,"$68,059","$57,255","$113,530","$51,561","$74,558","$81,665","$127,916","$69,742","$73,055","$83,055","$81,375","$75,381","$65,308","$82,240","$230,779","$103,755","$121,239","$112,642","$87,021","$185,869","$318,623","$116,428","$179,629","$104,299","$253,952"
Noviembre,"$107,977","$68,077","$60,331","$69,655","$57,184","$63,627","$61,803","$60,797","$28,197","$32,672","$39,577","$30,498","$18,254","$22,482","$29,690","$28,469","$20,308","$39,725","$68,378","$48,241","$81,571","$45,226","$109,623","$82,922","$147,581"
Diciembre,"$191,134","$195,380","$171,039","$185,327","$208,230","$253,878","$260,227","$237,503","$244,725","$168,969","$186,196","$216,309","$211,997","$147,083","$305,535","$335,712","$231,240","$219,864","$208,384","$316,701","$348,133","$321,259","$323,808","$467,390","$447,387"
Enero,"$116,292","$82,888","$88,624","$86,841","$87,968","$161,129","$76,079","$81,585","$72,399","$57,450","$55,189","$54,996","$68,834","$60,608","$93,929","$54,116","$148,869","$62,340","$64,000","$95,069","$93,360","$115,366","$154,154","$147,519","$157,630"
Febrero,"$49,054","$86,257","$81,128","$38,691","$38,867","$27,292","$22,446","$32,848","$27,837","$21,142","$20,935","$19,538","$38,995","$20,470","$33,552","$37,814","$28,293","$44,918","$34,860","$66,891","$52,510","$57,112","$63,421","$138,929","$100,211"
Marzo,"$161,682","$95,328","$151,791","$151,963","$172,843","$126,455","$143,992","$116,779","$90,337","$75,104","$57,192","$49,878","$54,777","$84,980","$68,593","$104,771","$72,229","$130,351","$179,384","$310,590","$115,325","$109,361","$118,248","$188,363","$137,733"
Abril,"$335,551","$409,393","$383,904","$423,682","$482,731","$439,712","$461,039","$522,594","$391,298","$339,635","$434,256","$457,790","$277,532","$293,409","$400,897","$376,755","$409,240","$355,174","$482,599","$647,934","$25,360","$100,662","$591,224","$553,843",
Mayo,"$133,346","$63,644","$80,426","$78,312","$59,750","$66,801","$71,586","$114,909","$91,751","$66,907","$57,673","$78,128","$64,918","$49,482","$79,511","$76,709","$56,823","$69,405","$70,741","$100,589","$19,773","$359,808","$212,723","$173,224",
Junio,"$264,590","$267,131","$316,659","$373,083","$227,399","$237,562","$190,440","$243,948","$117,981","$127,978","$310,933","$354,113","$393,820","$291,830","$314,161","$257,680","$229,629","$239,965","$285,817","$319,011","$92,700","$361,809","$400,485","$512,886",
