Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"$282,483","$238,802","$252,477","$302,983","$470,398","$339,795","$409,595","$482,576","$418,588","$420,295","$431,021","$329,217","$238,195","$233,321","$256,976","$268,203","$293,302","$256,461","$277,527","$273,573","$438,968","$538,507","$342,690","$371,258","$471,856"
Agosto,"$301,363","$292,694","$370,670","$272,505","$317,567","$292,211","$445,466","$381,304","$343,196","$367,922","$320,802","$261,724","$220,928","$214,370","$197,707","$213,143","$202,922","$187,306","$197,659","$224,983","$391,457","$211,301","$270,526","$316,230","$422,729"
Septiembre,"$408,961","$408,423","$384,059","$416,394","$433,538","$512,704","$560,097","$580,677","$529,238","$457,694","$492,103","$504,580","$404,377","$376,620","$448,443","$445,468","$439,359","$392,028","$317,350","$439,583","$654,203","$556,296","$533,845","$642,934","$734,098"
Octubre,"$275,201","$278,781","$350,591","$312,601","$345,941","$357,238","$400,657","$375,907","$380,081","$391,340","$302,625","$413,387","$270,211","$286,702","$570,678","$432,552","$315,792","$323,210","$225,364","$407,688","$557,475","$315,239","$397,906","$354,098","$624,771"
Noviembre,"$293,045","$278,032","$286,050","$256,080","$251,249","$298,365","$337,699","$355,963","$312,465","$297,303","$301,962","$340,042","$197,140","$216,604","$228,553","$257,004","$195,731","$214,338","$238,874","$235,917","$234,874","$244,275","$342,074","$337,250","$434,944"
Diciembre,"$659,235","$612,733","$410,345","$455,041","$476,265","$608,601","$581,497","$581,116","$578,285","$487,238","$503,849","$372,884","$457,720","$448,797","$557,721","$596,816","$557,385","$427,671","$414,614","$525,832","$580,547","$622,116","$673,125","$874,225","$776,864"
Enero,"$374,698","$362,287","$401,741","$399,674","$394,506","$472,252","$552,236","$384,345","$427,418","$370,561","$324,869","$263,910","$365,141","$310,877","$320,647","$435,543","$366,727","$306,841","$336,157","$350,464","$329,730","$385,308","$467,413","$495,050","$558,113"
Febrero,"$256,330","$230,864","$257,510","$257,653","$264,183","$263,306","$287,884","$263,175","$326,222","$314,514","$306,657","$263,014","$307,439","$366,272","$284,209","$319,246","$314,131","$298,539","$232,620","$285,598","$242,422","$233,275","$389,697","$433,017","$405,947"
Marzo,"$385,671","$326,627","$381,306","$403,977","$432,723","$463,260","$485,610","$391,311","$408,446","$422,378","$365,953","$321,892","$318,545","$414,491","$394,772","$347,654","$406,960","$441,277","$427,124","$599,712","$360,497","$370,042","$486,794","$592,163","$507,307"
Abril,"$719,522","$814,830","$870,866","$982,701","$947,417","$1,012,421","$1,000,377","$1,125,702","$1,006,363","$876,643","$876,608","$947,827","$829,512","$643,990","$784,605","$901,506","$757,155","$744,519","$903,159","$1,135,670","$176,257","$444,977","$1,309,754","$1,249,392",
Mayo,"$463,625","$344,952","$333,954","$373,471","$318,173","$353,769","$390,978","$419,511","$367,568","$319,905","$317,828","$275,690","$260,156","$248,437","$265,948","$254,380","$243,181","$233,848","$316,940","$361,785","$155,961","$785,397","$480,973","$428,761",
Junio,"$435,877","$589,565","$578,849","$737,214","$645,971","$512,028","$537,810","$845,528","$411,730","$461,415","$618,392","$620,283","$682,090","$637,354","$535,885","$506,713","$419,102","$426,344","$526,248","$546,275","$274,188","$680,430","$739,137","$882,722",
