Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"$24,825","$22,687","$37,443","$61,513","$36,787","$27,048","$38,044","$76,301","$56,143","$63,527","$64,882","$56,612","$32,625","$29,844","$28,711","$17,175","$30,319","$20,732","$52,229","$50,970","$35,748","$18,220","$41,184","$30,911","$70,098"
Agosto,"$29,912","$30,037","$136,369","$30,232","$46,120","$37,658","$170,291","$80,475","$83,312","$99,843","$76,604","$40,413","$52,432","$45,949","$41,600","$40,214","$29,681","$18,847","$23,995","$38,834","$22,607","$21,630","$31,653","$28,397","$70,694"
Septiembre,"$14,516","$23,664","$50,796","$40,031","$52,013","$48,199","$63,330","$80,629","$121,114","$60,157","$99,384","$91,385","$61,394","$66,717","$49,392","$49,653","$72,985","$51,659","$49,679","$58,319","$41,243","$26,308","$53,877","$38,777","$89,616"
Octubre,"$11,568","$34,927","$24,259","$38,586","$43,659","$35,027","$35,475","$46,513","$45,631","$54,596","$25,100","$70,741","$30,829","$27,919","$176,579","$66,933","$40,147","$50,665","$34,791","$57,497","$32,842","$23,818","$45,555","$50,958","$84,802"
Noviembre,"$13,786","$34,219","$13,395","$31,987","$33,081","$49,061","$61,663","$74,446","$90,947","$78,538","$64,863","$45,532","$36,191","$50,474","$62,510","$61,614","$39,724","$40,231","$38,481","$37,803","$23,600","$43,567","$32,819","$49,494","$75,134"
Diciembre,"$245,676","$223,957","$39,545","$42,358","$37,258","$63,359","$58,782","$83,938","$72,105","$66,115","$77,957","$70,382","$70,078","$124,405","$73,787","$78,372","$141,215","$50,282","$50,139","$58,185","$48,632","$34,612","$42,210","$52,153","$92,794"
Enero,"$46,722","$49,162","$44,661","$57,196","$52,934","$51,725","$152,066","$61,068","$93,173","$85,335","$71,969","$45,487","$107,898","$65,860","$43,857","$152,630","$49,900","$84,519","$75,304","$59,650","$39,972","$51,369","$67,559","$53,321","$102,651"
Febrero,"$24,787","$33,658","$19,019","$39,191","$42,812","$46,794","$77,189","$40,452","$96,170","$116,991","$99,630","$111,860","$85,730","$213,142","$118,066","$121,067","$142,094","$134,319","$37,376","$60,301","$29,656","$27,577","$27,842","$97,935","$82,141"
Marzo,"$24,857","$41,594","$44,586","$43,031","$46,127","$68,980","$51,835","$63,247","$107,567","$102,250","$62,493","$92,102","$70,651","$169,014","$156,492","$51,593","$134,394","$120,102","$45,917","$55,611","$25,818","$19,740","$31,223","$60,243","$59,350"
Abril,"$57,439","$52,768","$53,628","$35,403","$39,625","$45,986","$53,072","$85,896","$157,124","$197,851","$40,731","$170,028","$234,452","$40,935","$42,739","$51,131","$43,569","$35,564","$61,991","$40,689","$31,401","$36,450","$35,357","$77,269",
Mayo,"$21,369","$43,252","$20,648","$51,575","$65,779","$65,885","$81,390","$76,344","$75,078","$69,922","$72,260","$54,535","$34,056","$46,728","$51,149","$42,910","$45,535","$26,538","$88,257","$81,098","$16,178","$33,642","$48,387","$61,083",
Junio,"$41,819","$106,910","$98,907","$46,038","$134,905","$72,283","$78,123","$164,419","$89,418","$86,614","$74,479","$151,351","$74,425","$101,909","$54,983","$50,779","$39,270","$39,609","$79,325","$31,056","$31,598","$30,157","$34,861","$61,836",
