Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,$98,$148,$579,$50,$194,$175,$80,$447,$821,$170,$422,$363,$291,$5,$12,$262,$10,$32,$215,$65,$44,"$35,638","$5,460","$7,891","$5,243"
Agosto,$164,$136,$252,$191,$6,$312,$23,$427,$3,$144,$86,$75,$30,$1,$0,$2,$17,$27,$0,$0,$0,"$6,346","$8,176","$13,062","$6,891"
Septiembre,$47,$47,$30,$6,$1,$13,$519,$286,$29,$677,$0,$256,$4,$0,$243,$12,$11,$12,$0,$0,$0,"$90,003","$67,885","$72,441","$55,057"
Octubre,$209,$573,$484,$81,$164,$133,$456,$399,$163,$55,$80,$269,$69,$7,$31,$8,$76,$0,$3,$29,$30,"$8,819","$16,854","$12,799","$26,277"
Noviembre,$10,$40,$131,$1,$56,$0,$1,$87,$39,$21,$32,$17,$0,$3,$1,$9,$0,$0,$0,$0,$0,"$4,614","$6,291","$13,948","$6,865"
Diciembre,$181,$68,$10,$7,$550,$42,$196,$97,$14,$314,$6,$18,$405,$1,$2,$2,$237,$34,$0,$0,$0,"$71,678","$89,128","$76,137","$55,842"
Enero,$263,$347,$85,$463,$48,$178,$119,$88,$132,$5,$28,$2,$7,$0,$0,$0,$445,$0,$0,$8,$0,"$16,852","$12,142","$17,349","$17,796"
Febrero,$132,$1,$3,$508,$427,"$1,397",$2,$1,$4,$1,$3,$15,$0,$0,$111,$74,$109,$1,$0,$0,$597,"$5,347","$8,117","$5,335","$14,718"
Marzo,$114,$41,$34,$51,$33,$76,$35,$107,$23,$32,$76,$969,$244,$73,$46,$672,$41,$13,$822,$152,"$13,228","$13,035","$46,661","$30,033","$35,750"
Abril,$517,"$1,414",$805,$589,"$1,428",$721,"$1,264",$874,$475,$284,$620,"$1,219",$157,$652,$232,$962,$69,$95,$259,$0,"$2,530","$99,217","$117,786","$100,019",
Mayo,$468,$143,$55,$153,$78,$114,$83,$43,$62,$31,$233,$26,$38,$10,$13,$7,$1,$0,$5,$0,"$1,771","$19,707","$19,509","$4,117",
Junio,$136,$68,$202,$1,$20,$84,$9,$104,$177,$105,$102,$20,$88,$4,$54,$193,$7,$13,$5,$0,"$22,155","$102,819","$66,779","$52,312",
