Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"$413,279","$371,729","$408,779","$461,050","$637,957","$513,481","$564,984","$624,441","$512,025","$509,742","$514,725","$417,631","$531,792","$471,509","$465,825","$608,641","$626,495","$641,183","$642,480","$720,254","$1,021,377","$1,019,983","$775,410","$695,391","$788,185"
Agosto,"$438,536","$425,386","$510,587","$466,049","$481,741","$460,602","$627,647","$537,769","$475,023","$483,890","$455,269","$355,281","$439,219","$481,199","$441,188","$414,504","$515,823","$515,882","$561,542","$633,916","$732,100","$581,802","$625,793","$668,236","$798,569"
Septiembre,"$543,683","$540,904","$509,395","$586,066","$615,379","$723,767","$753,492","$753,437","$739,546","$652,147","$631,328","$713,931","$644,472","$585,642","$703,588","$693,519","$740,628","$704,004","$601,572","$802,953","$952,168","$901,173","$875,431","$958,768","$1,041,280"
Octubre,"$420,362","$442,240","$506,521","$515,450","$533,373","$569,332","$588,165","$569,399","$623,883","$603,674","$472,839","$547,275","$562,110","$573,358","$831,521","$655,095","$605,609","$673,527","$446,228","$703,251","$847,975","$712,608","$854,804","$790,197","$1,135,783"
Noviembre,"$434,991","$424,296","$444,428","$415,087","$436,773","$497,679","$529,916","$539,263","$509,597","$487,045","$464,756","$477,134","$452,898","$475,341","$458,588","$431,561","$468,427","$533,917","$546,393","$541,688","$522,462","$656,088","$753,704","$792,262","$888,892"
Diciembre,"$830,637","$770,676","$577,475","$670,920","$717,507","$857,051","$818,804","$817,181","$855,765","$741,614","$692,645","$537,214","$745,881","$699,985","$899,681","$826,712","$821,820","$770,519","$687,336","$854,445","$994,562","$1,168,067","$1,230,839","$1,398,290","$1,350,247"
Enero,"$512,000","$500,955","$557,044","$582,739","$584,647","$649,592","$719,931","$595,165","$626,784","$550,768","$517,672","$461,285","$693,098","$627,765","$663,595","$699,533","$655,250","$657,891","$577,220","$717,871","$734,683","$826,444","$989,745","$1,122,151","$1,148,246"
Febrero,"$387,005","$344,223","$381,323","$403,149","$432,339","$446,135","$423,790","$425,352","$502,786","$478,931","$486,317","$553,725","$650,733","$702,674","$652,316","$703,857","$767,535","$772,683","$664,710","$1,232,346","$641,124","$714,786","$883,011","$865,883","$851,545"
Marzo,"$529,360","$466,145","$519,861","$605,383","$641,654","$675,138","$692,716","$585,289","$614,629","$633,719","$652,650","$724,366","$672,608","$991,136","$769,914","$826,087","$928,228","$985,334","$928,649","$1,180,898","$837,389","$998,124","$1,091,820","$1,058,477","$1,047,853"
Abril,"$848,155","$963,891","$1,031,920","$1,154,644","$1,131,816","$1,232,825","$1,178,339","$1,329,033","$1,230,133","$1,065,640","$1,099,457","$1,329,455","$1,186,600","$971,218","$1,163,489","$1,320,193","$1,243,692","$1,228,146","$1,439,027","$1,723,646","$540,088","$1,090,779","$1,950,269","$1,790,652",
Mayo,"$628,428","$484,684","$526,144","$541,693","$519,327","$543,022","$552,581","$613,126","$563,144","$484,669","$505,469","$595,308","$578,980","$597,780","$736,483","$629,509","$696,847","$690,367","$884,295","$908,169","$493,453","$1,394,722","$1,200,031","$863,651",
Junio,"$661,196","$896,961","$891,977","$1,103,636","$889,688","$769,148","$735,048","$1,080,620","$744,043","$610,814","$870,712","$1,115,866","$1,198,987","$1,078,749","$1,002,736","$960,200","$905,303","$979,045","$1,106,557","$1,126,343","$719,888","$1,324,584","$1,288,566","$1,422,521",
