Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"$21,265","$23,215","$39,083","$26,813","$35,215","$18,206","$32,578","$22,593","$30,683","$24,300","$40,133","$27,691","$29,604","$20,877","$29,176","$15,588",$0,"$23,944","$6,905","$20,822","$27,288","$22,327","$25,731","$2,531","$22,614"
Agosto,"$28,488","$28,002","$26,182","$32,016","$26,042","$20,793","$39,691","$35,390","$35,626","$29,528","$27,559","$26,230","$26,190","$32,305","$31,522","$26,075","$34,177","$34,094","$47,306","$36,409","$41,538","$49,398","$49,219","$25,575","$32,301"
Septiembre,"$20,707","$34,446","$26,868","$30,394","$32,392","$46,927","$25,231","$22,478","$28,141","$13,517","$27,713","$25,830","$24,883","$19,337","$27,515","$15,506","$18,650","$18,524","$26,000","$30,025","$33,326","$34,673","$35,487","$22,242","$23,349"
Octubre,"$17,355","$25,890","$27,357","$26,198","$30,003","$15,661","$30,524","$26,340","$32,694","$37,016","$29,224","$21,816","$27,090","$20,433","$29,963","$20,727","$21,054","$26,576","$22,753","$35,708","$33,606","$32,929","$32,294","$30,815","$27,835"
Noviembre,"$23,024","$27,498","$25,090","$27,633","$27,075","$10,728","$31,001","$22,445","$26,844","$69,024","$28,301","$28,062","$27,975","$18,688","$14,437","$20,322","$20,182",$0,"$27,300","$15,218","$8,531",$0,"$4,435","$25,482","$29,025"
Diciembre,"$29,345","$39,771","$33,267","$31,385","$40,199","$37,909","$34,643","$38,207","$19,358","$36,520","$29,439","$28,868","$29,986","$22,723","$25,643","$27,266","$22,933","$28,826","$13,321","$3,720","$4,984","$11,116","$5,330","$12,897","$4,490"
Enero,"$41,959","$29,493","$25,544","$30,479","$30,341","$34,994","$35,156","$45,632","$39,583","$42,413","$34,125","$51,099","$30,536","$36,877","$15,803",$0,$0,"$2,442","$7,365",$0,$0,"$16,437","$10,052","$4,692","$5,618"
Febrero,"$16,213","$25,453","$26,079","$25,734","$27,131","$25,409","$28,232","$62,577","$23,059","$26,283","$28,923","$23,130","$23,210","$14,929","$17,578","$5,445",$0,"$3,900","$6,464","$5,287","$29,636",$0,"$23,360","$4,088","$2,681"
Marzo,"$18,554","$23,736","$27,504","$16,126","$21,307","$19,200","$26,058","$13,141","$26,591","$23,045","$23,858","$19,138","$19,128","$16,318","$15,213","$12,525","$1,503","$9,078","$12,681","$13,599","$16,153","$39,983","$29,503","$4,897","$7,676"
Abril,"$20,638","$23,800","$29,198","$28,458","$25,982","$34,901","$21,836","$18,300","$48,788","$25,773","$23,006","$21,672","$20,218","$13,495","$17,230","$12,214","$41,036",$0,"$4,047","$40,222","$16,293","$20,867","$17,109","$11,106",
Mayo,"$22,800","$19,679","$28,963","$34,129","$34,457","$66,108","$32,120","$14,695","$28,229","$31,363","$30,823","$26,834","$18,074","$14,463","$16,633","$17,362","$16,941","$18,440","$17,130","$13,744","$22,585","$19,843","$20,012","$14,238",
Junio,"$35,633","$29,061","$29,713","$26,511","$33,043","$37,061","$18,755","$70,578","$22,077","$48,752","$29,197","$29,811","$25,414","$15,434","$7,304","$18,462","$23,157","$16,597","$35,963","$15,379","$17,343","$31,327","$29,096","$12,573",
