Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"$434,544","$394,944","$447,862","$487,863","$673,172","$531,687","$597,562","$647,034","$542,708","$534,042","$554,858","$445,322","$561,396","$492,386","$495,001","$624,229","$626,495","$665,127","$649,385","$741,076","$1,048,665","$1,042,310","$801,141","$697,922","$810,799"
Agosto,"$467,024","$453,388","$536,769","$498,065","$507,783","$481,395","$667,338","$573,159","$510,649","$513,418","$482,828","$381,511","$465,409","$513,504","$472,710","$440,579","$550,000","$549,976","$608,848","$670,325","$773,637","$631,200","$675,012","$693,811","$830,870"
Septiembre,"$564,390","$575,350","$536,263","$616,460","$647,771","$770,694","$778,723","$775,915","$767,687","$665,664","$659,041","$739,761","$669,355","$604,979","$731,103","$709,025","$759,278","$722,528","$627,572","$832,978","$985,494","$935,846","$910,918","$981,010","$1,064,630"
Octubre,"$437,717","$468,130","$533,878","$541,648","$563,376","$584,993","$618,689","$595,739","$656,577","$640,690","$502,063","$569,091","$589,200","$593,791","$861,484","$675,822","$626,663","$700,103","$468,981","$738,959","$881,581","$745,537","$887,098","$821,012","$1,163,618"
Noviembre,"$458,015","$451,794","$469,518","$442,720","$463,848","$508,407","$560,917","$561,708","$536,441","$556,069","$493,057","$505,196","$480,873","$494,029","$473,025","$451,883","$488,609","$533,917","$573,693","$556,906","$530,993","$656,088","$758,139","$817,744","$917,917"
Diciembre,"$859,982","$810,447","$644,742","$702,305","$757,706","$894,960","$853,447","$855,388","$875,123","$778,134","$722,084","$566,082","$775,867","$722,708","$925,324","$853,978","$844,753","$799,345","$700,657","$858,165","$999,545","$1,179,183","$1,236,170","$1,411,187","$1,354,737"
Enero,"$553,959","$530,448","$582,588","$613,218","$614,988","$684,586","$755,087","$640,797","$666,367","$593,181","$551,797","$512,384","$723,634","$664,642","$679,398","$699,533","$655,250","$660,333","$584,585","$717,871","$734,683","$842,881","$999,797","$1,126,843","$1,153,863"
Febrero,"$403,218","$369,676","$407,402","$428,883","$459,470","$471,544","$452,022","$487,929","$525,845","$505,214","$515,240","$576,855","$673,943","$717,603","$669,894","$709,302","$767,535","$776,583","$671,174","$1,237,633","$670,760","$714,786","$906,371","$869,971","$854,227"
Marzo,"$547,914","$489,881","$547,365","$621,509","$662,961","$694,338","$718,774","$598,430","$641,220","$656,764","$676,508","$743,504","$691,736","$1,007,454","$785,127","$838,612","$929,731","$994,412","$941,330","$1,194,497","$853,542","$1,038,106","$1,121,323","$1,063,374","$1,055,529"
Abril,"$868,793","$987,691","$1,061,118","$1,183,102","$1,157,798","$1,267,726","$1,200,175","$1,347,333","$1,278,921","$1,091,413","$1,122,463","$1,351,127","$1,206,818","$984,713","$1,180,719","$1,332,407","$1,284,728","$1,228,146","$1,443,074","$1,763,868","$556,380","$1,111,646","$1,967,378","$1,801,757",
Mayo,"$651,228","$504,363","$555,107","$575,822","$553,784","$609,130","$584,701","$627,821","$591,373","$516,032","$536,292","$622,142","$597,054","$612,243","$753,116","$646,871","$713,787","$708,807","$901,425","$921,913","$516,038","$1,414,565","$1,220,043","$877,889",
Junio,"$696,829","$926,022","$1,131,787","$1,130,147","$922,731","$806,209","$753,803","$1,151,198","$766,120","$659,566","$899,909","$1,145,677","$1,224,401","$1,094,183","$1,010,040","$978,662","$928,460","$995,642","$1,142,520","$1,141,722","$737,231","$1,355,911","$1,317,661","$1,435,093",
