Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"$3,724","$4,055","$4,333","$5,311","$4,119","$4,366","$3,816","$5,189","$4,353","$4,690","$5,345","$4,631","$5,137","$6,206","$1,237","$1,135","$1,932","$1,626","$1,784","$1,686","$2,111","$1,053",$95,$568,"$10,143"
Agosto,"$4,554","$4,259","$5,446","$5,439","$4,264","$5,394","$5,284","$5,656","$4,759","$3,828","$5,150","$5,118","$6,965","$6,932","$1,336","$2,476","$1,381","$1,401","$1,517","$2,069","$1,950","$1,672",$143,"$1,383","$11,950"
Septiembre,"$4,186","$9,023","$9,193","$8,653","$10,830","$11,477","$10,692","$11,397","$10,197","$12,299","$9,538","$10,808","$5,699","$5,429","$1,986","$1,751","$2,069","$2,329",$284,"$1,503","$2,053","$1,061",$56,$663,"$8,815"
Octubre,"$20,339","$18,106","$19,832","$20,519","$20,659","$24,630","$20,360","$23,533","$27,110","$27,868","$21,197","$8,858","$6,921","$7,166","$1,517","$1,807","$1,608","$1,312","$1,074","$1,632","$1,945","$1,220","$1,825","$1,856","$11,530"
Noviembre,"$7,104","$6,343","$6,893","$6,059","$4,943","$7,919","$9,994","$8,786","$5,236","$6,340","$12,031","$7,518","$5,424","$5,192",$327,$619,$510,$868,$869,$695,"$1,286","$1,066","$1,107","$1,570","$12,952"
Diciembre,"$6,196","$5,916","$6,682","$5,980","$6,182","$3,774","$6,570","$7,920","$6,094","$5,265","$7,783","$6,640","$6,643","$6,233","$1,107",$180,$678,$568,"$1,303",$491,"$1,277",$639,"$1,472","$13,529","$12,714"
Enero,"$4,616","$5,549","$7,059","$7,687","$5,564","$5,220","$5,703","$6,478","$5,450","$4,930","$5,560","$6,410","$6,921","$7,104","$2,509","$2,716","$1,287","$1,317","$2,162","$1,171","$1,489",$595,$691,"$12,066","$12,506"
Febrero,"$4,295","$4,380","$5,548","$5,527","$4,376","$4,871","$4,392","$4,900","$3,846","$4,542","$6,504","$5,625","$6,558","$6,260","$1,396","$1,581","$1,677","$1,779","$2,307","$1,897","$1,531","$1,602","$1,240","$9,996","$10,107"
Marzo,"$4,694","$4,820",$927,"$5,750","$5,792","$6,369","$7,624","$4,703","$3,395","$4,364","$5,819","$6,330","$6,556","$8,997","$2,185","$1,440","$2,085","$1,967","$2,021","$2,553","$1,349","$1,240",$31,"$12,109","$11,309"
Abril,"$4,736","$4,563","$6,125","$3,348","$5,189","$4,419","$5,143","$6,059","$10,166","$4,493","$5,126","$5,341","$6,501","$6,860","$2,207","$1,636","$1,933","$1,727","$2,224","$2,161",$155,"$1,147","$1,060","$9,662",
Mayo,"$4,583","$4,608","$4,939","$5,767","$4,375","$3,791","$4,492","$7,392","$2,914","$5,151","$5,151","$6,540","$7,913","$7,274","$2,291","$2,157","$2,012","$2,265","$2,023","$2,606",$734,"$1,969",$285,"$10,684",
Junio,"$4,774","$4,716","$5,598","$5,836","$7,938","$2,986","$7,240","$5,597","$4,170","$12,653","$6,564","$7,562","$5,408","$7,182","$1,747","$2,072","$1,851","$1,891","$1,849","$1,933","$1,719",$205,$781,"$11,787",
