Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"$17,987","$18,245","$19,051","$26,200","$39,984","$42,212","$36,934","$24,463","$27,812","$24,090","$23,427","$19,818","$11,394","$18,639","$14,056","$13,284","$17,307","$7,991","$9,510","$13,825","$17,625","$7,507","$17,666","$9,497","$41,303"
Agosto,"$25,902","$21,203","$23,085","$46,368","$30,134","$28,780","$34,110","$29,984","$56,547","$46,388","$68,187","$20,511","$18,818","$15,140","$12,702","$32,819","$10,965","$13,336","$9,036","$13,945","$16,389","$12,571","$15,309","$21,451","$30,366"
Septiembre,"$17,693","$17,700","$17,782","$45,158","$42,891","$60,830","$43,540","$36,211","$48,519","$49,190","$39,246","$34,793","$29,840","$14,746","$38,367","$42,260","$69,650","$28,809","$3,008","$22,449","$16,816","$9,925","$17,363","$15,208","$7,960"
Octubre,"$15,966","$29,623","$24,025","$36,971","$32,995","$42,226","$30,498","$50,697","$48,679","$25,357","$51,551","$13,654","$28,293","$13,244","$11,927","$10,835","$43,499","$13,353","$7,051","$5,886","$10,972","$16,299","$32,789","$62,132","$70,774"
Noviembre,"$15,098","$16,577","$22,754","$19,754","$41,140","$36,125","$27,280","$26,054","$28,138","$18,051","$20,133","$43,091","$12,133","$17,094","$23,264","$25,365","$23,620","$17,028","$19,802","$10,369","$12,481","$9,639","$10,742","$12,908","$25,194"
Diciembre,"$27,386","$27,346","$44,710","$56,415","$64,514","$75,272","$64,691","$52,564","$71,452","$52,696","$62,754","$60,970","$30,838","$36,323","$76,545","$44,900","$21,460","$39,454","$15,816","$49,044","$23,798","$54,273","$73,916","$45,279","$84,104"
Enero,"$16,974","$21,098","$32,880","$35,332","$44,177","$23,066","$29,029","$53,833","$23,533","$26,930","$15,369","$17,036","$6,041","$12,879","$23,549","$19,037","$2,275","$16,376","$8,008","$19,489","$15,884","$32,658","$41,870","$57,532","$50,111"
Febrero,"$17,530","$18,809","$18,972","$28,125","$24,829","$43,979","$23,697","$22,088","$26,461","$15,888","$19,417","$15,499","$29,438","$21,476","$14,647","$11,875","$8,634","$12,016","$17,848","$17,729","$10,932","$16,276","$31,512","$56,198","$29,183"
Marzo,"$18,619","$19,883","$21,979","$49,471","$54,867","$50,078","$52,062","$44,537","$38,491","$46,796","$44,294","$23,601","$35,415","$281,442","$45,222","$70,062","$42,654","$22,028","$7,616","$14,670","$6,829","$59,869","$16,814","$17,590","$41,006"
Abril,"$14,371","$26,248","$25,438","$25,349","$31,380","$42,028","$23,017","$29,216","$33,888","$23,937","$22,223","$12,242","$23,636","$13,390","$14,652","$22,795","$9,011","$21,030","$10,005","$53,836",$766,"$17,478","$37,511","$42,443",
Mayo,"$24,869","$23,845","$55,893","$28,004","$53,146","$37,100","$32,212","$36,538","$23,935","$18,401","$18,742","$16,804","$14,665","$23,683","$68,222","$15,151","$8,679","$15,846","$39,339","$18,702","$8,160","$15,240","$136,576","$27,258",
Junio,"$90,839","$186,874","$130,802","$198,374","$70,946","$81,487","$52,674","$68,708","$191,221","$63,405","$52,243","$170,415","$94,734","$93,683","$142,326","$36,013","$7,187","$51,157","$10,177","$30,244","$17,303","$56,158","$43,471","$90,789",
