Meses,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"1,089","1,258","1,073",881,447,624,713,967,"1,057",860,839,822,909,856,818,664,642,589,441,290,318,325
Agosto,"1,169","1,224","1,068","1,259",551,670,754,"1,019","1,065","1,030",894,997,906,859,929,814,696,667,421,303,370,394
Septiembre,"1,140","1,318","1,083","1,568",551,727,843,"1,015","1,197","1,009",840,876,903,950,887,254,661,627,444,318,285,402
Octubre,"1,314","1,454","1,044","3,078",615,767,866,975,"1,076",987,"1,039","1,023",957,937,849,199,687,762,418,334,256,429
Noviembre,976,858,959,117,566,622,713,934,992,801,683,823,771,950,706,398,593,601,323,276,306,395
Diciembre,"1,096","1,176","1,068",222,572,643,876,964,"1,057",919,825,"1,044",839,881,741,512,653,619,453,296,340,438
Enero,839,934,810,240,483,579,643,667,770,734,739,706,695,716,626,547,508,496,284,254,282,373
Febrero,"1,212","1,229",860,297,578,684,877,931,953,853,849,919,821,930,795,542,637,662,374,295,319,455
Marzo,"1,272","1,386","1,159",356,701,731,"1,042","1,075","1,103","1,014",915,"1,007",960,895,918,670,643,415,400,414,389,499
Abril,"1,075","1,103","1,167",414,595,775,"1,008","1,019",914,809,"1,022",950,817,976,755,652,666,163,325,294,324,524
Mayo,"1,307","1,060","1,048",412,703,741,906,"1,131",970,915,994,"1,001",869,898,825,716,706,366,335,337,378,500
Junio,"1,243","1,230","1,043",415,638,773,943,"1,113",949,917,936,848,874,876,844,639,645,516,328,342,359,426
