Meses,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"780,990","661,456","581,435","644,162","513,661","585,483","639,046","589,608","625,677","695,049","618,100","687,766"
Agosto,"677,120","642,055","683,153","577,335","580,228","549,465","552,026","617,605","700,383","760,346","681,239","639,774"
Septiembre,"781,532","663,964","584,490","574,285","564,372","444,829","497,655","596,119","679,626","672,569","595,727","632,205"
Octubre,"861,980","568,025","667,884","573,083","577,251","596,184","661,942","575,166","710,308","714,050","681,950","671,030"
Noviembre,"1,054,023","592,354","682,516","611,930","578,392","820,221","650,908","610,238","622,261","688,866","591,521","604,042"
Diciembre,"742,417","490,373","595,818","616,529","572,217","675,035","602,649","514,843","588,372","569,807","608,972","592,487"
Enero,"692,489","639,277","571,833","483,377","567,040","554,244","586,083","562,396","527,718","576,364","611,306","597,402"
Febrero,"750,523","629,525","563,085","621,890","501,721","571,860","494,026","603,372","618,790","610,223","599,055","599,756"
Marzo,"840,078","639,277","677,164","630,871","591,829","624,069","682,713","600,025","691,620","695,282","698,755","605,775"
Abril,"629,212","704,322","629,397","574,442","615,946","708,249","593,836","420,801","643,011","676,663","617,169",
Mayo,"779,811","687,761","629,557","560,484","629,626","707,920","608,220","463,506","693,285","669,222","688,153",
Junio,"563,250","638,177","675,169","544,554","561,739","650,842","588,404","621,975","662,728","588,847","637,661",
