Meses,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,255,449,0,530,"1,389",636,"1,585","1,066","2,504","1,319",948
Agosto,529,267,0,674,685,913,"1,026","1,062","2,351","1,345",724
Septiembre,458,272,250,829,342,"1,398",539,"1,517","1,501",668,855
Octubre,471,276,420,"1,101",368,459,"1,042",979,"1,276",958,817
Noviembre,440,221,379,746,966,541,"1,061","1,268","1,566","1,094",850
Diciembre,321,19,279,"1,157","1,116",762,"1,214","1,242","1,086","1,110",922
Enero,456,2,425,"1,318",867,"1,471",657,"1,818","1,856","1,540",781
Febrero,"4,274","2,926","3,020","3,780","2,246","4,146","2,337","1,531",839,"1,146","4,845"
Marzo,487,20,341,"1,050","1,583","1,877","1,092","2,378","2,380","2,214","1,806"
Abril,512,0,444,904,"1,232","1,827",34,"1,613","1,600","1,072",
Mayo,519,29,462,991,226,"1,036",243,"1,829",886,"1,278",
Junio,744,0,410,"1,117",756,"1,424",444,"1,666","1,019","1,067",
