Meses,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"6,764","8,126","9,093","8,850","7,936","5,104","5,778","3,012","7,847","5,637","4,738"
Agosto,"5,616","5,998","5,881","6,224","5,747","3,956","4,506","1,608","6,080","4,100","3,930"
Septiembre,"2,987","3,474","4,123","4,596","2,322","2,803","2,569","2,225","4,049","2,215","2,480"
Octubre,"2,876","3,776","4,222","4,619",793,"2,611","3,056","3,099","3,891","2,240","2,235"
Noviembre,"3,819","4,841","5,362","5,013",262,"2,880","3,981","3,193","4,859","2,985","3,034"
Diciembre,"5,539","7,283","8,231","7,457","1,984","4,804","5,604","2,859","6,452","4,373","4,284"
Enero,"6,110","7,635","8,437","8,251","1,991","5,258","6,286","4,118","5,107","4,921","4,892"
Febrero,"5,930","6,531","7,550","7,185","2,615","5,498","5,327","4,986","5,767","4,875","4,428"
Marzo,"8,792","8,593","9,333","9,030","4,289","6,526","3,274","7,232","6,980","5,450","5,273"
Abril,"7,665","6,309","7,237","8,011","3,516","5,282",255,"6,927","6,047","5,141",
Mayo,"5,905","5,963","6,485","6,348","3,365","5,171",498,"6,807","4,892","4,475",
Junio,"5,943","7,469","6,813","6,434","3,627","4,519","1,335","7,203","4,796","4,411",
