Meses,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"1,033","1,173","1,040",893,"1,163","1,119","1,388",785,"1,397","1,393","1,362"
Agosto,"1,004","1,127",882,"1,099","1,394","1,246","1,298",584,"1,204","1,377","1,507"
Septiembre,839,"1,070",922,868,444,"1,042","1,187",754,"1,351","1,053","1,416"
Octubre,"1,018","1,241","1,066",915,"1,112","1,276","1,304",924,"1,227","1,304","1,509"
Noviembre,"1,071","1,069","1,009","1,038","1,208","1,242","1,486","1,082","1,509","1,629","1,516"
Diciembre,"1,269","1,412","1,311","1,340","1,508","1,536","1,571","1,246","1,619","1,587","1,894"
Enero,"1,211","1,359",841,"1,426","1,383","1,405",932,251,"2,015","1,668","1,875"
Febrero,"1,390","1,072",910,"1,448","1,511","1,529","1,364",0,"1,403","1,502","1,823"
Marzo,"1,324","1,286","1,373","1,546","1,528","1,505",866,0,"1,767","1,646","1,885"
Abril,"1,206","1,084",834,"1,344","1,420","1,301",245,"1,433","1,352","1,579",
Mayo,"1,182","1,120","1,071","1,381","1,376","1,284",651,"1,334","1,193","1,619",
Junio,"1,094","1,139",953,"1,307","1,444","1,412",582,"1,419",932,"1,631",
