Meses,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"4,835","5,034","5,149","4,927","5,153","3,050","3,269","1,592","3,818","3,660","3,864"
Agosto,"4,215","4,379","3,911","3,750","4,160","2,686","2,665","1,145","3,336","2,977","2,847"
Septiembre,"2,882","3,002","3,105","2,885","2,666","1,766","1,497","1,476","2,220","1,750","2,082"
Octubre,"2,727","3,443","3,339","2,737",778,"2,038","1,927","1,853","2,440","2,040","1,858"
Noviembre,"3,452","3,635","4,022","3,526",926,"2,795","2,664","2,024","3,052","2,762","3,025"
Diciembre,"4,466","4,289","4,749","4,283","1,306","3,337","3,474","1,969","4,022","3,206","3,826"
Enero,"4,881","4,775","5,151","4,954","1,573","3,904","4,104","2,132","3,386","3,287","3,604"
Febrero,"4,544","4,501","4,874","4,570","1,777","3,921","4,081","2,213","3,529","3,205","3,904"
Marzo,"5,463","5,192","5,385","5,453","2,986","4,653","2,190","3,775","4,368","3,818","4,896"
Abril,"5,202","4,286","4,641","4,776","2,561","3,633",254,"3,589","3,813","3,118",
Mayo,"4,142","3,999","4,212","4,138","2,740","3,101",515,"3,452","3,755","2,887",
Junio,"3,967","4,097","3,860","4,016","2,618","2,265",792,"3,705","3,213","3,267",
