Meses,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"9,674","7,910","11,163","11,446","11,217","6,244","6,613","3,767","8,043","7,201","5,759"
Agosto,"8,296","6,800","7,031","7,341","8,385","5,449","5,795","3,087","6,823","5,850","5,044"
Septiembre,"5,466","4,882","5,332","6,273","3,048","4,643","3,582","3,603","4,654","3,159","3,195"
Octubre,"5,581","4,683","5,829","6,273","1,564","4,165","3,540","4,435","4,551","3,189","3,248"
Noviembre,"5,473","6,107","5,632","5,995","2,088","3,876","4,554","4,323","5,403","4,188","4,054"
Diciembre,"6,758","7,014","8,839","8,428","3,937","4,896","5,872","3,889","7,404","5,377","5,342"
Enero,"6,799","8,954","8,365","8,824","3,697","5,423","6,548","5,027","5,929","5,782","5,423"
Febrero,"6,334","6,360","8,002","7,753","4,126","4,428","5,189","5,771","6,434","5,519","5,407"
Marzo,"8,230","8,357","10,529","10,490","5,734","6,638","3,338","7,732","7,709","6,752","6,475"
Abril,"8,002","7,917","7,878","9,719","4,535","5,422",797,"6,308","6,845","5,921",
Mayo,"7,616","6,393","7,952","8,447","5,146","6,173","1,177","7,229","6,459","5,477",
Junio,"7,438","8,786","8,555","8,950","4,691","5,212","2,073","6,823","6,566","5,292",
