Meses,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"871,540","916,865","923,549","970,700","1,001,896","942,368","968,321","363,935","1,118,925","1,006,726","1,275,216"
Agosto,"737,195","756,886","759,008","766,586","806,460","757,748","815,045","302,236","935,774","905,684","1,116,402"
Septiembre,"498,856","505,545","535,897","531,554","312,810","526,761","571,010","297,505","684,448","628,379","779,645"
Octubre,"562,111","562,136","587,007","578,668","421,994","578,122","658,632","385,608","753,623","731,654","854,675"
Noviembre,"633,379","632,117","700,131","678,584","467,246","648,932","779,721","440,548","869,270","866,718","956,516"
Diciembre,"764,618","777,057","843,346","852,142","645,845","784,058","937,719","513,404","921,944","997,452","1,109,414"
Enero,"733,203","752,736","812,125","815,737","612,266","796,878","888,012","531,623","746,695","1,028,927","1,113,130"
Febrero,"632,610","652,948","705,748","725,321","550,287","682,520","792,317","481,268","725,786","874,404","984,244"
Marzo,"801,127","768,323","831,853","818,987","705,553","821,210","524,763","751,974","918,240","1,003,705","1,164,365"
Abril,"726,002","698,252","733,283","799,588","695,954","752,910","41,692","765,561","888,031","945,802",
Mayo,"694,933","697,420","728,043","733,104","710,605","776,383","79,907","896,041","943,866","1,089,538",
Junio,"831,141","814,198","847,850","888,616","871,636","887,513","214,008","1,009,758","951,600","1,163,331",
