Meses,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"25,050","21,154","23,157","26,357","24,029","26,128","23,886",251,"10,053","28,787","29,505"
Agosto,"18,444","18,445","16,736","19,116","18,185","19,607","18,449",297,"7,915","23,756","24,724"
Septiembre,"11,384","12,772","16,013","14,299","6,337","12,290","12,893",253,"5,514","15,832","19,979"
Octubre,"12,313","14,736","15,926","15,748","5,702","11,285","14,285",494,"6,035","20,178","22,584"
Noviembre,"15,672","15,023","16,608","20,381","9,197","15,888","18,070",399,"8,139","14,719","29,203"
Diciembre,"21,374","21,518","20,744","29,916","18,052","18,074","23,791",258,"14,216","28,372","27,589"
Enero,"17,849","17,407","18,581","19,820","17,999","17,433","17,670",349,"8,339","20,483","25,548"
Febrero,"13,730","12,733","15,910","17,615","14,372","13,676","14,156",188,"5,799","18,745","23,573"
Marzo,"16,340","18,188","19,057","17,124","17,339","16,960","8,305",344,"15,258","26,896","34,702"
Abril,"14,422","12,843","16,893","18,136","16,411","16,742",116,"2,640","23,345","20,108",
Mayo,"16,556","18,195","19,089","16,240","13,414","20,986",153,561,"22,857","29,624",
Junio,"19,100","18,265","16,451","18,706","18,453","21,582",176,"8,244","23,449","28,894",
