Meses,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"51,123","51,243","51,600","57,231","64,706","67,921","72,098",46,"66,697","63,854","87,712"
Agosto,"38,528","38,089","42,460","51,206","54,688","58,745","56,210",41,"56,264","61,493","78,400"
Septiembre,"21,582","22,968","26,683","37,706","20,709","38,766","45,178",35,"44,074","43,913","57,153"
Octubre,"20,342","25,701","26,864","37,594","14,050","45,894","51,068",52,"52,197","59,626","67,296"
Noviembre,"27,075","29,738","32,968","42,714","19,530","58,912","64,930",65,"49,327","63,625","76,509"
Diciembre,"35,164","37,854","39,437","46,646","37,849","68,848","66,381",136,"63,069","78,446","69,046"
Enero,"32,179","31,595","43,610","47,473","32,274","67,307","58,406",118,"49,290","79,515","64,454"
Febrero,"29,541","23,475","32,456","38,485","29,297","54,207","54,381",128,"40,404","62,750","58,459"
Marzo,"37,719","29,617","35,991","45,026","45,267","67,161","35,827",122,"55,695","71,240","74,694"
Abril,"34,574","29,272","31,527","44,298","46,308","63,223",61,"22,481","48,472","66,864",
Mayo,"40,634","34,252","47,772","52,089","54,018","71,496",54,"47,970","73,876","76,973",
Junio,"46,999","44,349","55,150","59,521","62,102","74,737",58,"58,780","60,831","76,484",
