Meses,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,188,79,433,135,185,68,0,0,269,361,0
Agosto,105,115,525,128,66,83,0,0,396,361,131
Septiembre,107,87,660,86,14,89,0,140,330,153,118
Octubre,93,145,273,94,81,77,0,226,469,256,109
Noviembre,76,168,136,54,65,74,0,152,284,246,97
Diciembre,83,198,241,75,47,74,0,202,228,255,79
Enero,70,322,67,94,42,39,0,191,187,326,79
Febrero,84,266,51,101,50,243,0,118,187,168,95
Marzo,168,402,48,55,40,208,0,309,460,244,107
Abril,71,368,141,88,57,0,0,423,214,228,
Mayo,102,458,124,125,59,0,0,381,130,161,
Junio,102,89,151,79,59,0,0,226,218,183,
