Meses,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,12,18,25,23,25,26,30,27,0,1,13,14
Agosto,11,18,27,21,27,27,28,29,0,6,15,13
Septiembre,9,17,26,19,20,6,26,25,0,6,5,10
Octubre,13,21,26,29,30,6,34,36,0,7,17,13
Noviembre,40,52,62,58,58,21,67,62,0,38,46,48
Diciembre,68,64,81,74,68,56,71,88,0,60,78,71
Enero,70,58,74,74,66,57,79,74,0,16,67,72
Febrero,51,50,65,62,63,52,61,72,3,29,53,59
Marzo,65,61,71,55,51,51,64,28,2,47,71,64
Abril,46,46,49,39,53,45,43,0,3,29,48,37
Mayo,15,25,25,20,25,29,27,0,1,10,24,27
Junio,17,24,23,24,25,30,30,0,1,12,12,23
