Meses,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Julio,"$313,356","$359,707","$365,516","$335,420","$334,484","$336,151","$348,837","$343,825","$338,716","$336,276","$353,982","$350,061","$361,595"
Agosto,"$297,813","$336,682","$343,032","$334,143","$330,194","$325,284","$328,558","$321,865","$318,794","$324,845","$347,314","$336,583","$368,584"
Septiembre,"$274,820","$317,394","$332,605","$315,388","$306,015","$303,804","$320,862","$316,888","$311,272","$324,743","$347,666","$354,570","$361,051"
Octubre,"$318,346","$326,627","$340,287","$321,852","$324,322","$326,348","$338,435","$330,246","$315,779","$314,123","$316,211","$322,959",
Noviembre,"$302,711","$329,347","$331,254","$313,027","$320,540","$314,209","$320,459","$319,510","$327,012","$316,116","$315,733","$335,781",
Diciembre,"$337,409","$370,268","$359,376","$355,221","$355,963","$353,222","$351,811","$353,468","$350,007","$343,820","$354,986","$374,427",
Enero,"$329,038","$331,418","$345,225","$314,939","$320,937","$316,213","$321,492","$316,691","$306,450","$299,074","$312,077","$319,192",
Febrero,"$304,876","$313,826","$293,388","$309,814","$299,224","$298,230","$299,212","$306,260","$290,514","$318,860","$334,604","$350,123",
Marzo,"$337,695","$349,287","$331,876","$322,556","$329,127","$328,231","$325,470","$336,864","$328,041","$345,283","$352,353","$365,688",
Abril,"$345,697","$342,297","$321,952","$308,448","$320,556","$320,412","$321,144","$323,404","$321,502","$335,879","$345,332","$350,746",
Mayo,"$360,237","$351,109","$342,255","$351,442","$352,114","$327,295","$323,508","$349,567","$349,324","$356,465","$364,739","$360,933",
Junio,"$351,186","$349,775","$325,302","$325,419","$328,805","$329,565","$328,916","$341,382","$331,153","$347,220","$353,606","$363,392",
