Meses,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Julio,"$300,129","$331,369","$319,348","$312,537","$300,620","$342,808","$315,935","$305,125","$300,514","$303,229","$299,574","$306,772","$305,785"
Agosto,"$308,935","$346,722","$325,387","$330,176","$306,622","$332,668","$328,746","$316,110","$313,339","$310,134","$302,791","$305,760","$316,105"
Septiembre,"$290,169","$313,609","$309,903","$294,355","$297,510","$311,779","$307,068","$302,154","$293,989","$300,604","$308,626","$305,177","$310,616"
Octubre,"$318,722","$331,481","$325,612","$312,853","$325,008","$328,272","$321,450","$321,017","$311,551","$315,907","$321,905","$313,842",
Noviembre,"$331,220","$334,229","$335,623","$324,106","$323,384","$328,442","$334,572","$325,576","$307,684","$317,612","$320,270","$321,294",
Diciembre,"$386,244","$379,928","$386,156","$367,668","$383,063","$370,811","$375,926","$368,615","$353,799","$328,359","$354,689","$356,332",
Enero,"$337,260","$334,356","$359,146","$317,765","$335,025","$318,844","$330,381","$331,026","$307,678","$373,894","$316,658","$271,171",
Febrero,"$323,404","$321,183","$322,769","$321,561","$330,693","$302,552","$334,378","$332,434","$294,496","$313,361","$316,527","$277,228",
Marzo,"$337,615","$327,082","$337,690","$313,471","$340,849","$334,645","$343,128","$327,858","$317,349","$309,470","$327,436","$287,706",
Abril,"$328,509","$310,189","$316,996","$292,563","$333,108","$319,132","$324,248","$319,709","$312,633","$331,855","$315,744","$307,745",
Mayo,"$351,908","$333,330","$341,272","$314,644","$348,414","$333,634","$318,344","$339,783","$326,062","$307,568","$319,450","$315,100",
Junio,"$334,744","$327,404","$317,765","$306,249","$335,830","$318,297","$318,127","$309,000","$302,330","$320,564","$303,192","$310,003",
