Meses,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Julio,"$47,371","$53,168","$49,254","$48,512","$57,507","$50,255","$50,685","$60,614","$54,671","$61,219","$51,360","$49,689","$63,080"
Agosto,"$43,559","$53,123","$47,848","$49,027","$52,758","$50,223","$51,114","$50,832","$53,727","$58,938","$53,673","$52,147","$58,264"
Septiembre,"$46,898","$54,385","$57,686","$65,388","$85,169","$61,678","$56,238","$62,530","$57,310","$57,408","$58,921","$58,574","$66,219"
Octubre,"$63,332","$63,712","$62,357","$65,672","$54,426","$62,907","$61,281","$67,478","$64,408","$63,208","$68,817","$70,985",
Noviembre,"$76,055","$76,265","$76,319","$95,202","$74,509","$83,907","$84,881","$88,482","$102,967","$90,737","$98,433","$91,588",
Diciembre,"$66,869","$65,088","$56,623","$82,745","$73,624","$73,316","$75,695","$77,897","$90,431","$85,182","$81,808","$76,358",
Enero,"$53,922","$44,273","$42,904","$55,896","$54,017","$50,917","$55,539","$54,929","$63,782","$56,374","$59,732","$55,875",
Febrero,"$50,158","$40,712","$46,220","$59,487","$47,147","$48,453","$53,344","$53,127","$56,973","$55,324","$60,171","$54,764",
Marzo,"$54,596","$47,307","$52,107","$61,579","$51,892","$56,077","$54,296","$60,671","$59,749","$60,752","$65,510","$58,717",
Abril,"$56,294","$43,520","$42,499","$51,525","$48,207","$49,947","$50,704","$52,713","$59,565","$53,623","$58,401","$58,247",
Mayo,"$58,846","$43,434","$56,026","$68,964","$61,363","$52,841","$58,144","$62,376","$65,787","$60,018","$65,877","$68,748",
Junio,"$58,303","$46,650","$51,444","$63,788","$58,613","$54,299","$61,250","$58,118","$58,594","$48,769","$77,453","$60,962",
