Meses,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Julio,"$392,074","$414,380","$412,848","$454,763","$488,934","$513,495","$447,140","$453,506","$434,997","$444,588","$446,282","$450,469","$455,476"
Agosto,"$392,002","$412,971","$404,292","$437,177","$469,981","$513,913","$440,502","$456,453","$436,481","$456,667","$452,858","$446,192","$444,914"
Septiembre,"$396,483","$401,224","$402,944","$446,410","$462,018","$489,729","$414,759","$442,128","$426,723","$434,392","$436,180","$436,002","$460,184"
Octubre,"$399,257","$386,829","$399,013","$468,791","$468,925","$480,962","$427,288","$442,553","$431,852","$464,042","$476,383","$491,749",
Noviembre,"$414,635","$408,433","$412,565","$485,656","$493,243","$482,187","$437,550","$427,988","$439,327","$450,688","$465,203","$477,795",
Diciembre,"$454,719","$450,869","$452,961","$522,042","$536,736","$512,902","$466,501","$462,260","$455,637","$464,411","$474,702","$494,121",
Enero,"$393,987","$396,341","$423,256","$466,418","$455,724","$432,143","$444,070","$434,871","$441,310","$455,862","$472,874","$479,122",
Febrero,"$371,966","$381,518","$420,177","$458,745","$443,709","$435,745","$431,351","$426,837","$426,544","$437,141","$440,356","$451,977",
Marzo,"$403,359","$416,240","$453,050","$472,771","$467,475","$454,875","$451,744","$444,719","$458,662","$453,190","$455,142","$465,888",
Abril,"$399,288","$408,478","$452,282","$460,784","$483,001","$440,686","$452,620","$431,601","$438,767","$442,146","$445,023","$469,669",
Mayo,"$405,741","$419,254","$448,367","$476,550","$493,870","$440,985","$408,993","$439,605","$445,413","$460,723","$461,038","$457,898",
Junio,"$401,398","$395,032","$441,468","$462,689","$483,948","$429,924","$445,259","$429,613","$431,057","$424,411","$430,499","$444,057",
