Meses,2017,2018,2019,2020,2021,2022,2023,2024
Julio,,"$323,186,806 ","$307,433,826 ","$280,945,336 ","$349,848,017 ","$416,899,971 ","$409,439,164 ","$432,461,734 "
Agosto,,"$324,256,704 ","$308,539,691 ","$301,669,716 ","$366,259,327 ","$395,521,230 ","$449,929,651 ","$458,307,346 "
Septiembre,,"$301,832,600 ","$300,900,178 ","$270,637,347 ","$355,249,276 ","$386,670,782 ","$430,818,386 ","$449,944,176 "
Octubre,"$326,161,911 ","$321,865,551 ","$285,499,520 ","$275,048,191 ","$350,268,845 ","$401,734,528 ","$451,044,579 ","$440,914,206 "
Noviembre,"$363,683,925 ","$321,461,959 ","$282,685,829 ","$281,713,832 ","$354,764,493 ","$406,646,849 ","$437,470,602 ","$453,106,737 "
Diciembre,"$343,198,376 ","$344,406,734 ","$309,361,425 ","$295,766,241 ","$392,604,351 ","$434,623,358 ","$484,934,415 ","$482,671,915 "
Enero,"$312,484,252 ","$274,011,662 ","$284,794,517 ","$339,429,485 ","$342,798,470 ","$389,612,064 ","$398,358,000 ","$471,270,285 "
Febrero,"$297,514,040 ","$269,018,294 ","$267,070,626 ","$328,153,542 ","$347,710,897 ","$375,638,942 ","$383,339,546 ","$420,531,281 "
Marzo,"$331,939,721 ","$318,303,360 ","$272,160,815 ","$439,006,468 ","$411,594,104 ","$424,675,629 ","$437,739,096 ",
Abril,"$320,502,474 ","$299,577,499 ","$265,638,136 ","$412,610,654 ","$397,326,605 ","$407,267,899 ","$420,815,471 ",
Mayo,"$320,398,379 ","$306,713,264 ","$274,424,982 ","$404,732,446 ","$408,919,225 ","$423,982,501 ","$437,194,003 ",
Junio,"$319,798,161 ","$302,708,791 ","$263,811,248 ","$378,274,400 ","$404,900,150 ","$422,400,408 ","$459,574,996 ",
