Meses,2017,2018,2019,2020,2021,2022,2023,2024
Julio,,919673321.5,1172500252,881748486.8,1107847623,1222091366,1237311165,1308369771
Agosto,,845531755.2,1111671121,780085180.8,1113896250,1105782076,1200184849,1195232628
Septiembre,,514579551.3,894815849.9,719756115.6,860679426.3,936913647,909116438.7,976605426.9
Octubre,761981193,548154147.1,910994734,908127284.5,875210057.2,993300876.9,1013194660,977984021.6
Noviembre,838843137,816744215.7,1004966138,897020282.7,912982370.1,1010580701,1052858709,1262192155
Diciembre,902751354,986573667.2,1036493235,947816229.1,1040019710,1085170830,1275300467,1465143384
Enero,663558990.2,932480080.1,918106545.4,717247866.1,848476613,899111148.6,945196171.6,1048901737
Febrero,595847208.8,810854736.8,845205890.7,787650804.5,857077002.2,873811354.1,927770655.2,955398537.7
Marzo,666490683,922250688.8,875112492.4,597509794.3,983862684.9,1045869723,1134000068,
Abril,624524456.3,863267643.7,616380613.2,668857406.2,1008997913,959770084.6,946460092.4,
Mayo,718047852.3,996497036.6,691514068.8,761757162.6,1100914626,1064342071,1088507636,
Junio,838096155.1,1054566255,763685430.5,951074997.6,1200739567,1157160354,1214935541,
