Meses,2017,2018,2019,2020,2021,2022,2023,2024
Julio,,2580245100,3076563478,2460766136,2964130099,3332410256,3331144637,3457757569
Agosto,,2647652606,2962399729,2691578194,2949346463,3130064644,3318377785,3428756032
Septiembre,,1719474082,2477039021,2274460561,2652449329,2934048891,2859741518,3108026128
Octubre,2450446024,1897429181,2559959983,2562958946,2659186494,3081189428,3206924970,3098394419
Noviembre,2645055258,2743780264,2703576851,2675607010,2618388724,3092324471,3162441119,3397970383
Diciembre,3042027887,3351326249,2996565645,2908661627,2999651546,3357724956,3737554477,3904612462
Enero,2371793459,2757527858,2687489742,2466685538,2563374378,2738675095,2855897130,3093233465
Febrero,2315715526,2654370480,2719374926,2287729434,2606568105,2654536308,2792293067,2891931062
Marzo,2506902588,2773103888,2590950119,2053647174,3019287307,3181156625,3275230458,
Abril,2147205873,2607311201,2300097588,1571195777,2946687604,3015204293,3093511620,
Mayo,2576165291,2970227299,2355204013,2048466734,3376636262,3144867060,3284240739,
Junio,2600410001,2926275000,2393641681,2934722167,3337251245,3299150941,3501540323,
