Meses,2017,2018,2019,2020,2021,2022,2023,2024
Julio,,"$431,500,718 ","$589,241,947 ","$358,551,664 ","$358,187,336 ","$435,040,856 ","$353,384,662 ","$366,129,724 "
Agosto,,"$568,900,732 ","$560,676,676 ","$605,093,062 ","$359,083,475 ","$401,699,014 ","$340,270,689 ","$418,064,224 "
Septiembre,,"$253,001,379 ","$378,595,746 ","$352,481,454 ","$372,822,890 ","$386,340,872 ","$269,189,056 ","$338,342,729 "
Octubre,"$382,036,885 ","$163,980,198 ","$420,131,982 ","$380,812,398 ","$373,217,375 ","$417,281,307 ","$373,404,229 ","$345,934,326 "
Noviembre,"$480,378,692 ","$496,439,104 ","$486,672,074 ","$479,022,374 ","$315,014,555 ","$404,110,095 ","$342,262,895 ","$333,223,831 "
Diciembre,"$538,954,487 ","$645,568,587 ","$475,528,468 ","$410,189,035 ","$372,027,140 ","$391,049,876 ","$412,926,541 ","$422,242,027 "
Enero,"$458,093,903 ","$474,925,746 ","$481,182,443 ","$436,492,223 ","$333,250,491 ","$331,204,413 ","$305,826,646 ","$323,653,239 "
Febrero,"$586,753,592 ","$645,820,806 ","$720,066,897 ","$264,952,184 ","$348,367,568 ","$322,830,672 ","$317,778,141 ","$327,407,838 "
Marzo,"$601,734,833 ","$514,084,174 ","$453,145,649 ","$294,764,358 ","$420,700,206 ","$424,569,457 ","$361,791,896 ",
Abril,"$330,786,248 ","$463,917,795 ","$450,117,577 ","$13,703,457 ","$342,326,680 ","$359,753,711 ","$406,329,860 ",
Mayo,"$575,665,095 ","$576,845,632 ","$405,106,836 ","$137,154,981 ","$423,937,740 ","$332,817,309 ","$367,039,832 ",
Junio,"$496,543,999 ","$527,166,441 ","$422,329,275 ","$441,502,139 ","$384,885,781 ","$343,111,945 ","$406,974,223 ",
