Meses,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,35.66333809,37.77672109,35.13499234,38.56923971,42.00348708,57.58968669,72.43620225,71.72293549,121.5987742,59.17472394,71.72293549,95.70983251,91.98499498,96.63443758,96.04269034,72.76377662,58.16294183,57.87763512,76.48861415,71.08363713,51.97865483,72.00560046,136.5298251,91.67327099
Agosto,35.66333809,37.77672109,34.60664659,39.09758546,43.32435146,62.87314419,72.67395784,71.98710836,113.8849263,63.29582079,71.19458974,96.23817826,96.05325725,98.79008823,94.56332224,67.3218154,56.44845987,59.9064828,76.02631162,70.77191314,52.83721667,73.1019179,119.5963438,102.9904369
Septiembre,37.51254821,37.77672109,35.13499234,39.36175833,44.64521583,68.68494743,71.80218735,71.53801448,108.5222169,64.03550483,71.61726634,96.50235114,102.1028161,98.17456544,93.92930734,62.02779099,57.99387119,63.26147831,76.83203889,68.47889259,53.6297353,73.1573942,120.2171501,106.1076769
Octubre,38.83341259,36.19168384,35.92751096,39.36175833,50.1928462,78.72351667,68.28868812,75.18360015,88.44507846,61.84286997,72.72679241,94.54747187,103.5557669,96.33856396,91.21889364,60.19178951,59.2539758,no disponible,80.32176256,70.8881492,52.12394991,75.25492682,127.5241718,107.7693242
Noviembre,38.83341259,35.66333809,36.19168384,38.56923971,52.3062292,74.76092355,66.94140646,83.55788028,74.57600254,68.02451524,74.15332594,93.99270883,100.6498653,95.56982089,86.17319174,59.16415702,60.05970307,68.7192899,79.02467375,71.31346753,52.27452845,81.67168595,132.5777989,104.4671633
Diciembre,39.09758546,35.13499234,35.92751096,38.04089396,52.04205632,71.32667618,67.39050034,82.97669995,66.41306071,68.07734982,77.50832145,93.91345697,99.91810641,96.85634279,82.38495271,58.74940561,59.52343213,68.90156919,74.89036826,71.86558884,53.2440429,79.04580758,121.2157236,99.82828763
Enero,39.36175833,34.60664659,36.45585671,38.83341259,51.51371057,67.94526338,65.06577905,84.3503989,64.85444075,69.66238707,80.46705764,95.15506948,100.6392984,97.30543668,70.64775189,52.40925662,61.98023987,71.58556559,70.71907857,70.70058646,58.92375971,81.7403709,116.3998521,96.95937021
Febrero,39.36175833,34.87081946,38.56923971,39.62593121,50.98536482,67.09991018,64.19400856,87.12421409,69.23971047,68.65853014,84.37681619,98.32514397,101.3789824,98.53119882,67.46711048,47.33713742,62.11496804,73.09927617,70.60812596,68.2966133,61.02393406,90.58223702,115.2929677,99.7701696
Marzo,39.36175833,35.13499234,41.21096846,39.89010408,52.3062292,68.07734982,66.30739156,95.84191895,56.03106673,70.32281925,93.75495324,108.2052095,101.8677022,100.9483806,72.32524964,47.55640091,60.96053257,72.00295874,71.91313996,65.65752629,66.40513552,110.1706557,106.8341523,99.66978391
Abril,39.36175833,35.66333809,40.94679558,40.68262271,56.00464944,69.45104877,70.79833043,103.3972632,53.25725155,72.5418714,98.4836477,104.0048608,99.62751625,99.15200507,71.34252655,50.65779046,60.89184763,72.10598616,73.01738258,no disponible,68.19622761,116.0432187,103.1013895,99.30522534
Mayo,39.36175833,35.92751096,39.89010408,41.47514133,55.47630369,70.61340942,71.45876261,116.2360649,52.86099223,73.41364189,99.01199345,102.8953347,95.87890315,99.15200507,72.70037513,54.11052993,61.16658741,73.52987795,74.01067258,no disponible,68.70872299,140.5056269,94.84334549,94.9093887
Junio,39.09758546,35.66333809,39.89010408,41.21096846,56.26882232,70.90399958,71.19458974,122.3912929,58.01236329,71.74935278,97.0042796,94.83806203,94.86447932,96.20383579,74.10577482,58.39277223,60.67258414,76.16103978,73.63290537,50.88497913,70.67681091,143.0681038,93.42209542,
