Meses,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,42.95450943,38.25223226,37.88239024,38.06731125,49.03048555,55.55555556,73.28155545,75.05151371,99.98943309,60.33708459,68.23585354,90.95472077,85.11650024,92.19633328,95.96079675,77.45548687,62.27347176,62.64067206,80.45649073,75.39493845,56.9292545,80.98747821,121.9738997,88.96285729
Agosto,40.60337085,36.9049506,37.67105194,39.09758546,48.39647065,64.7487716,71.35309346,69.60955249,93.57003223,66.78290273,69.60955249,91.95857769,93.43794579,96.33856396,91.15549215,72.47054472,59.95403392,66.85158768,79.91229461,74.0212395,61.23527236,82.28985048,105.2860992,99.27616632
Septiembre,40.9203783,37.82955566,37.56538279,41.1317166,48.76631268,68.15660168,60.20499815,69.76805622,94.36255085,64.29967771,66.80932002,95.57774608,99.06482802,99.21276483,91.07888202,64.87557458,62.35800708,71.80218735,79.71944841,70.74549585,59.75590426,82.80762931,91.86347546,97.67792043
Octubre,41.1317166,36.03318011,38.27864955,40.20711153,49.58524859,69.18687589,56.7179162,71.45876261,69.92655994,62.08062556,68.9491203,87.22988324,97.74396365,90.83584298,86.6936123,62.44518413,64.93105088,no disponible,83.33861679,71.59084905,58.93696835,85.26707878,101.2231204,90.65092196
Noviembre,42.02990437,33.7348761,38.88624716,39.59951392,49.74375231,59.38606224,56.5065779,78.27442278,51.27595498,67.39050034,70.45490569,88.55074761,91.03397263,88.71981825,80.57272679,61.15073704,65.81074655,75.65911132,76.61013367,73.01738258,57.27267924,90.56902837,110.780895,86.72267132
Diciembre,39.83726951,32.01775242,37.69746922,39.46742748,49.05690284,56.24240503,57.43118297,75.87044962,44.56596397,67.15274476,75.63269403,85.11650024,87.22195805,92.26765996,74.81375812,61.19828816,66.88857188,73.42156707,68.23585354,74.20616051,59.17472394,86.2154594,87.44386326,83.77450203
Enero,37.82955566,31.80641412,38.3843187,39.89010408,46.94351984,58.85771649,54.55169863,75.52702489,44.22253923,69.18687589,78.93485497,87.28271781,89.40666772,92.19897501,60.12574629,58.74676388,69.53822581,74.60770328,64.91520051,72.56828869,65.43562107,89.35911661,91.13435832,83.36767581
Febrero,39.91652137,32.17625614,40.99963016,42.05632166,46.89068526,56.85000264,55.89898029,80.22930206,47.97379405,66.54514714,79.46320072,93.78137053,94.81428647,92.13029006,60.15216358,52.23490252,68.31246368,76.93770804,65.40920378,69.50388334,67.94526338,96.61330375,91.11322449,87.39367042
Marzo,39.57309663,33.25936493,42.55825012,43.00734401,48.44930523,57.85385957,64.77518888,82.31626777,48.15871506,71.0625033,89.44893538,98.98557616,94.38632641,95.21582924,65.95604163,51.83335975,65.18729857,75.64854441,69.48803297,67.38785861,74.9405611,107.3677815,91.25323612,90.47920959
Abril,39.33534105,38.48998785,40.89396101,46.01891478,55.31779997,74.36466424,72.35695039,91.03397263,52.06847361,73.70423205,96.50235114,103.1330903,90.29428858,94.60294817,68.36001479,56.79188461,65.77904581,76.50446452,75.42663919,no disponible,75.61420193,105.161938,92.85676547,95.4879273
Mayo,41.84498336,39.09758546,39.0183336,50.8268611,54.10260474,70.61340942,79.43678343,101.0197073,57.53685212,73.28155545,103.2123422,95.26073863,86.52982512,93.73646114,74.00803086,61.26961484,64.66951973,78.69709938,79.64812173,no disponible,76.12141385,122.8324616,87.07137951,93.95836635
Junio,41.84498336,38.41073599,38.30506684,50.06075976,54.20827389,71.16817245,73.96840492,102.9745866,65.56770751,67.20557933,93.22660749,87.75822899,86.87060813,94.6980504,76.35916944,64.72235431,66.25455698,80.25571934,77.00639298,53.07233053,78.48047762,135.518043,89.78443493,
