Meses,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,41.63364506,36.9049506,36.50869129,36.77286416,48.0794632,54.71020236,72.27769853,74.10049136,99.35541819,59.6766524,67.57542136,90.24145401,84.27114704,91.32456279,95.11016009,76.29312622,61.17715433,61.560205,79.51075184,74.42014054,55.96238178,80.02853067,120.441697,87.44122154
Agosto,39.20325461,35.50483436,36.2709357,37.82955566,47.41903101,63.92983568,69.92655994,68.42077455,92.88318275,66.28097427,68.97553759,91.16605907,92.56617531,95.38225815,90.24145401,71.23949913,58.83922439,65.83188038,78.92428805,72.97247319,60.56955672,81.37052887,103.9282506,97.886617
Septiembre,39.70518307,36.482274,36.13884926,39.94293866,47.78887304,67.31124848,58.51429175,68.63211285,93.72853595,63.6920801,66.14888783,94.99656575,98.21947482,98.37005336,90.19654462,63.68415491,61.31452422,70.78512178,78.73936704,69.69144608,58.75204734,81.88302425,89.90595446,96.23289481
Octubre,39.81085222,34.55381201,36.87853331,38.96549902,48.60780895,68.05093253,55.18571353,70.4284884,68.79061658,61.44661066,68.36793998,86.41094732,96.84577588,89.91387964,85.73202304,61.26168965,63.91662704,no disponible,82.48533841,70.53415755,57.9489618,84.36096582,99.5218471,88.94172346
Noviembre,41.07888202,32.22909072,37.51254821,38.33148412,48.73989539,58.01236329,55.05362709,77.34981772,50.16642891,66.80932002,69.90014265,87.89031542,90.00369842,87.82955566,79.43678343,60.07819517,64.8042479,74.90093517,75.52174143,71.98446663,56.26089713,89.68404924,100.935172,85.0398901
Diciembre,38.3843187,30.53838432,36.21810113,38.1729804,48.00021134,54.86870608,56.08390131,74.81375812,44.0640355,66.57156443,75.18360015,84.3503989,86.10450679,91.57024357,73.61969673,60.09140381,65.9164157,72.68716648,67.08405981,73.18909494,58.14973319,85.24594495,85.48634226,82.1445554
Enero,36.40302214,30.30062873,36.93136789,38.595657,45.88682834,57.85385957,53.04591325,74.57600254,43.50927247,68.68494743,78.43292651,86.70153749,88.45036192,91.42230676,58.93696835,57.61082052,68.51059333,73.78612564,63.87171765,71.51423892,64.4370476,88.42394463,89.57045491,81.80113066
Febrero,38.56923971,30.72330533,39.57309663,40.89396101,45.83399377,55.79331114,54.81587151,79.64812173,47.39261373,65.88471496,78.93485497,93.17377292,93.92930734,91.35890527,59.11924764,51.02499075,67.29275638,76.13198077,64.36043747,68.44190838,66.94140646,95.69398214,89.54667935,85.85882602
Marzo,38.25223226,31.77999683,41.21096846,41.89781793,47.47186559,56.87641993,63.87700111,81.603001,47.52470016,70.50774027,88.9998415,98.43081312,93.42737888,94.57388915,64.98652718,50.73704232,64.07248904,74.77413219,68.56606964,66.32852539,73.97897184,106.3771332,89.73688382,88.94700692
Abril,37.90880752,37.06345432,39.52026206,44.9093887,54.41961219,73.62498019,71.45876261,90.45279231,51.48729328,73.14946901,96.05325725,102.6311618,89.248164,93.77608707,67.37993343,55.75896867,64.74348814,75.61420193,74.47297511,no disponible,74.63412057,104.1343055,91.3800391,93.99535056
Mayo,40.44486712,37.69746922,37.64463465,49.71733502,53.07233053,69.5831352,78.59143023,100.3592751,57.06134094,72.64754055,102.6839964,94.41538543,85.51275955,92.91224177,72.99624875,60.22084852,63.58905268,77.80155334,78.66804037,no disponible,75.12548212,121.9210651,85.58408623,92.35483701
Junio,40.41844983,36.93136789,36.95778517,48.89839911,53.1515824,69.97939452,72.85887885,102.3141544,65.11861362,66.46589528,92.51334073,86.86004121,85.87203466,93.90024832,75.32097004,63.73434776,65.25334179,79.29148835,75.99461087,52.12130818,77.50303799,134.3319068,88.32620067,
