Meses,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,45.59623818,41.29022032,41.29022032,41.58081048,52.46473292,59.49173139,78.64426481,80.57272679,105.589898,66.25455698,74.4439161,97.61187721,93.22660749,100.5706134,104.0576954,88.50319649,72.72150896,72.93284726,89.47006921,84.44550114,66.06435251,90.0935172,136.5641676,103.4606647
Agosto,43.43002061,40.10144238,41.18455117,42.50541554,51.98922175,68.5264437,79.01410683,76.53088181,99.64600835,71.43234533,75.42135574,99.51392191,101.6537222,105.4710202,99.86791356,84.1760448,70.58699213,76.58107466,88.89681408,83.716384,67.36672478,91.05510646,118.2358535,112.992022
Septiembre,43.35076874,40.89396101,41.10529931,44.35462567,52.3062292,72.06636023,69.1604586,76.39879537,100.1215195,69.95297723,73.04379986,101.2310456,107.0692661,107.2119195,99.49014635,76.19802399,72.27769853,81.1803244,88.87039679,80.65462038,69.11026576,91.60194431,110.4929466,111.404343
Octubre,43.77344534,39.41459291,41.76573149,43.56210704,53.12516511,74.41749881,64.80160617,77.37623501,80.09721562,67.83959423,74.36466424,94.94373118,106.2767475,99.59053204,96.92766947,73.70687378,74.56015216,no disponible,91.43023194,81.60035928,68.19622761,94.15385428,117.4301263,106.9266128
Noviembre,43.90553178,37.1162889,42.32049453,43.06017858,53.3629207,65.69979395,64.22042585,83.716384,61.1560205,72.56828869,75.73836318,94.94373118,100.808369,97.16806678,91.36418873,71.35837692,75.41078882,82.90537328,86.79399799,82.45363766,66.80667829,99.30786707,119.5487927,102.7526814
Diciembre,42.74317113,35.37274793,41.36947218,43.00734401,52.9402441,62.52971945,64.64310245,81.94642574,48.97765097,72.48903683,79.70095631,92.30200243,97.55375918,98.87990701,86.17055001,71.74671105,76.16632324,80.43271517,78.86617002,83.60014794,68.64003804,95.48264384,106.0759761,99.29465842
Enero,40.70904,35.18782691,42.02990437,43.37718603,50.8268611,63.45432451,62.52971945,81.04823797,50.64194009,73.86273577,83.55788028,92.83034818,98.50478153,99.57203994,71.43498706,70.15110688,79.30469699,82.42193692,74.84017541,82.28985048,74.80054948,98.26702594,106.0099329,98.28551804
Febrero,42.61108469,35.47841708,44.56596397,45.22639615,50.72119195,61.65794896,61.63153167,83.53146299,53.20441697,72.62112326,84.3503989,99.43467005,103.2149839,99.48222117,69.96090241,63.74491467,77.99968299,84.7545834,75.1149152,79.34696465,77.19395572,105.3679928,106.0046494,102.0103556
Marzo,42.24124267,36.58794315,45.91324563,46.04533207,51.96280446,62.31838115,69.5831352,86.4637819,53.75918001,76.00253606,93.59644952,104.2954509,103.5134992,101.9628045,75.19416706,62.23912929,75.7859143,83.96998996,78.26121414,77.44756168,84.08094257,116.7987531,105.6717916,105.0721192
Abril,42.21482538,41.68647963,44.30179109,49.03048555,58.64637819,77.77249432,77.191314,94.33613357,57.27267924,78.72351667,100.623448,107.8353675,100.2219052,102.4858668,77.66682517,66.60590691,75.61420193,84.92101231,84.51682781,no disponible,84.9659217,114.9442595,106.923971,109.7083531
Mayo,44.64521583,42.29407724,42.47899826,53.86484916,57.88027685,75.26285201,83.9277223,104.7973794,61.7900354,78.96127226,108.2052095,103.291594,96.22761135,101.5982459,83.63184868,71.23949913,74.94848629,87.23780842,88.74623554,no disponible,85.61050351,131.515824,101.2099118,109.2275585
Junio,44.72446769,41.76573149,41.66006234,53.17799968,58.01236329,76.66296825,79.91229461,106.8050933,69.60955249,73.91557035,99.85734665,96.34384741,96.34384741,102.2930206,86.2154594,74.12162519,75.77006393,89.31949067,86.48755746,61.87985418,87.78992973,146.8167169,103.6403022,
